House Index,Address,Price,County,Room,Approx price per room
112092,"Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim,2,425485.00
111,"11 Rivercourt, Bagenalstown, Co. Carlow",800, Co. Carlow,3,266.67
2,"Glynn, St. Mullins, Co. Carlow",700, Co. Carlow,4,175.00
3,"Ferry Bank, Graiguecullen, Co. Carlow",850, Co. Carlow,2,425.00
4,"Dublin Street, Carlow Town, Co. Carlow",850, Co. Carlow,3,283.33
5,"Riverdell, Haymarket, Carlow Town, Co. Carlow",825, Co. Carlow,2,412.50
6,"Centaur House, Carlow Town, Co. Carlow",950, Co. Carlow,2,475.00
7,"phelim crescent, Tullow, Co. Carlow",800, Co. Carlow,3,266.67
8,"Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow,1,750.00
110,"No. 10 Eaglewood, Belturbet, Co. Cavan",550, Co. Cavan,2,275.00
231,"Apt. 31 Railway Lough, Belturbet, Co. Cavan",450, Co. Cavan,1,450.00
3,"Lakelands, Virginia, Co. Cavan",750, Co. Cavan,2,375.00
413,"13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan,3,266.67
5,"Rivercrescent, Virginia, Co. Cavan",550, Co. Cavan,1,550.00
6,"Main Street, Cavan, Co. Cavan",550, Co. Cavan,1,550.00
7,"Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan,3,300.00
8,"Deerpark, Virginia, Co. Cavan",700, Co. Cavan,3,233.33
9,"Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan,2,342.50
10,"blacklion, Blacklion, Co. Cavan",450, Co. Cavan,2,225.00
117,"Apt 7 Woodford View, Ballyconnell, Co. Cavan",550, Co. Cavan,2,275.00
122,"2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan,2,300.00
13,"Poles, Cavan, Co. Cavan",950, Co. Cavan,1,950.00
1,"Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
2,"Woodbrook, Newmarket on Fergus, Co. Clare",650, Co. Clare,1,650.00
3,"Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
4135,"135 Bru na Sionna, Shannon, Co. Clare",825, Co. Clare,2,412.50
510,"10 Ros na Greine, Shannon, Co. Clare",1200, Co. Clare,5,240.00
6,"Merchants Quay, Kilrush, Co. Clare",700, Co. Clare,2,350.00
7,"Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare,1,650.00
8,"Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare,2,412.50
91,"1 Maple house Drumgeely, Shannon, Co. Clare",700, Co. Clare,2,350.00
10,"Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare,2,300.00
11,"Salthouse Lane, Ennis, Co. Clare",800, Co. Clare,2,400.00
12,"Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
13,"Moore Street, Kilrush, Co. Clare",400, Co. Clare,1,400.00
141,"Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare,3,266.67
153,"3 Merchant's Quay, Kilrush, Co. Clare",360, Co. Clare,1,360.00
1,"South Douglas Road, Cork City, Co. Cork",1440, Co. Cork,2,720.00
2,"Orchard Court, Victoria Cross, Victoria Cross, Co. Cork",1373, Co. Cork,2,686.50
324,"24 Ronayns Court, Rochestown Road, Douglas, Co. Cork",1500, Co. Cork,2,750.00
4,"Douglas House, Douglas, Co. Cork",1400, Co. Cork,2,700.00
524,"24 Rivergold, Lavitts Quay, Cork City, Co. Cork",1350, Co. Cork,1,1350.00
6,"Camden Court , Carolls Quay , Cork ., Cork City, Co. Cork",1600, Co. Cork,2,800.00
7,"Eagle Valley, Wilton, Co. Cork",1500, Co. Cork,4,375.00
8,"River Towers, Lee Road, Cork City, Co. Cork",2550, Co. Cork,1,2550.00
9,"The Coach House, Belvidere Farm, ballycurreen, Farmers Cross, Co. Cork",1200, Co. Cork,2,600.00
10,"South Terrace, Cork City, Co. Cork",1250, Co. Cork,1,1250.00
1111,"11 Blackrock Grove, Eden, Blackrock, Co. Cork",1400, Co. Cork,2,700.00
1248,"48 Mill House, Mill Road, Midleton, Co. Cork",1150, Co. Cork,2,575.00
13,"Cloghroe House, Ballincollig, Co. Cork",825, Co. Cork,1,825.00
14,"Corrin Court, Cork Road, Fermoy, Co. Cork",795, Co. Cork,2,397.50
15,"Blarney Street, Cork City, Co. Cork",1260, Co. Cork,2,630.00
16,"Kingsbridge, South Douglas Road, Douglas, Co. Cork",1440, Co. Cork,2,720.00
17,"Granary Hall, Mount Oval, Rochestown, Co. Cork",1350, Co. Cork,2,675.00
18,"Tivoli Woods, Tivoli, Co. Cork",1050, Co. Cork,2,525.00
19,"Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork,3,540.00
20,"The Crescent, Cork City, Co. Cork",1305, Co. Cork,2,652.50
12,"2 Railway Court, Pearse Road, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
24,"Apt 4, Main St, St. Johnston, Co. Donegal",390, Co. Donegal,1,390.00
318,"18 The Fort, Greencastle, Co. Donegal",750, Co. Donegal,3,250.00
421,"21 Quayside Apartments, Ramelton, Co. Donegal",850, Co. Donegal,3,283.33
5,"Trentaboy, Drumkeen, Co. Donegal",600, Co. Donegal,1,600.00
649,"49 Grand Central Apartments, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
7186,"Apt 1 86 Upper Main street, Letterkenny, Co. Donegal",600, Co. Donegal,2,300.00
814,"14 Glenveagh Court, Letterkenny, Co. Donegal",800, Co. Donegal,3,266.67
9,"The Maples, Lismonaghan, Letterkenny, Co. Donegal",565, Co. Donegal,1,565.00
107,"Apt 7 The Gallery, Navenny Street, Ballybofey, Co. Donegal",520, Co. Donegal,2,260.00
1131,"31 Cill Greine, Letterkenny, Co. Donegal",600, Co. Donegal,2,300.00
12,"Aras Patrick Kavanagh, Letterkenny, Co. Donegal",845, Co. Donegal,1,845.00
136,"6 Church Lane Apt, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
14,"riverside, Letterkenny, Co. Donegal",520, Co. Donegal,2,260.00
15,"St Annes Court, Letterkenny, Co. Donegal",550, Co. Donegal,2,275.00
16,"Ardmore Court, Upper Main Street, Ballyshannon, Co. Donegal",550, Co. Donegal,2,275.00
171,"1 Bakers Court, Ballyshannon, Co. Donegal",550, Co. Donegal,2,275.00
182,"Apt 2 William Street, Raphoe, Co. Donegal",320, Co. Donegal,1,320.00
19,"Riverside View, Letterkenny, Co. Donegal",440, Co. Donegal,2,220.00
20,"The Barn, Killylastin, Letterkenny, Co. Donegal",500, Co. Donegal,1,500.00
17,"7 Carlinn's Cove, Rostrevor, Co. Down",700799, Co. Down,3,233599.67
120,"20 Belfield Park, Stillorgan, Co. Dublin",2100, Co. Dublin,2,1050.00
24,"Shelbourne Road Apartments, Ballsbridge, Dublin 4",3600, Dublin 4,2,1800.00
3,"The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin,2,975.00
418,"Inglenook Wood, Glenamuck Road, Carrickmines, Carrickmines, Dublin 18",2100, Dublin 18,2,1050.00
52,"Cathedral Court, Dublin 2",2800, Dublin 2,2,1400.00
62,"Cathedral Court, Dublin 2",2250, Dublin 2,1,2250.00
72,"Capital Dock, Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2",3300, Dublin 2,2,1650.00
8,"Vico Terrace, Vico Road, Dalkey, Co. Dublin",7000, Co. Dublin,3,2333.33
96,"Bushy Park House, Terenure, Dublin 6w",1792, Dublin 6w,1,1792.00
102,"Adelaide Square, Dublin 2",3400, Dublin 2,2,1700.00
114,"Sweepstakes, Ballsbridge, Dublin 4",3000, Dublin 4,3,1000.00
12302,"30 The Marker residence, Grand Canal Dock, Dublin 2",3535, Dublin 2,2,1767.50
134,"Herbert Park Lane, Ballsbridge, Dublin 4",4000, Dublin 4,2,2000.00
142,"The Marker Residence, Grand Canal Dock, Dublin 2",3000, Dublin 2,2,1500.00
1553218,"532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18,2,1150.00
1618,"Levmoss Hall, the Gallops, Leopardstown, Dublin 18",2250, Dublin 18,2,1125.00
17,"The Grange, Brewery Road, Stillorgan, Co. Dublin",2400, Co. Dublin,2,1200.00
188,"Clancy Quay by Kennedy Wilson, Dublin 8",1700, Dublin 8,1,1700.00
