House,Price,County
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim
"1. Glynn, St. Mullins, Co. Carlow",700, Co. Carlow
"2. 7 Chaff Street, Graiguecullen, Carlow Town, Co. Carlow",900, Co. Carlow
"3. Potato Market, Carlow Town, Co. Carlow",700, Co. Carlow
"4. Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow
"5. Riverdell, Haymarket, Carlow Town, Co. Carlow",900, Co. Carlow
"1. Poles, Cavan, Co. Cavan",950, Co. Cavan
"2. 13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan
"3. Catherdal Road, Cavan, Cavan, Co. Cavan",600, Co. Cavan
"4. Cluain Aoibhinn Court, Swellan, Cavan, Co. Cavan",600, Co. Cavan
"5. 2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan
"6. Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan
"7. Apartment 25 Canal Bank Walk, Castleforde Ballycon, Ballyconnell, Co. Cavan",600, Co. Cavan
"8. Co Cavan, Lough Gowna, Co. Cavan",500, Co. Cavan
"9. Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan
"10. Apartment NO 3, Gortoolan Ballyconnell Co Cavan, Ballyconnell, Co. Cavan",400, Co. Cavan
"11. Apt 5, The Elms, Woodford Meadows, Ballyconnell, Co. Cavan",550, Co. Cavan
"1. 156 Bru na Sionna, Shannon, Co. Clare",1000, Co. Clare
"2. Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare
"3. Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare
"4. Salthouse Lane, Ennis, Co. Clare",800, Co. Clare
"5. Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"6. Town court, Shannon, Co. Clare",600, Co. Clare
"7. Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"8. Inis Chlair, Clarecastle, Co. Clare",850, Co. Clare
"9. Merchants Quay, Kilrush, Co. Clare",700, Co. Clare
"10. Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare
"11. Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare
"12. Moore Street, Kilrush, Co. Clare",400, Co. Clare
"13. Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare
"14. 3 Merchant\'s Quay, Kilrush, Co. Clare",360, Co. Clare
"1. Lower Road, Cobh, Co. Cork., Cobh, Co. Cork",1200, Co. Cork
"2. Woodville, Rochestown, Co. Cork",1200, Co. Cork
"3. The Coach House, Belvidere Farm, ballycurreen, Farmers Cross, Co. Cork",1200, Co. Cork
"4. Church St Dromcollogher, Charleville, Co. Cork",240, Co. Cork
"5. Coach House, Belvidere, Farmers Cross, Co. Cork",900, Co. Cork
"6. Harbour Row 7, Cobh, Co. Cork",700, Co. Cork
"7. 59 MacCurtain Street, Cork City, Co. Cork",3400, Co. Cork
"8. Roxboro Close, The Rock, Midleton, Co. Cork",1150, Co. Cork
"9. Kilominogue Innishannon, Kinsale, Co. Cork",650, Co. Cork
"10. 67A Main St, Kinsale, Co. Cork",1900, Co. Cork
"11. 3 Manhattan Apartments Lower O Connell St, Kinsale, Co. Cork",1200, Co. Cork
"12. Brigown, Mitchelstown, Co. Cork",625, Co. Cork
"13. Baldwin Street, Mitchelstown, Co. Cork",925, Co. Cork
"14. The Promenade, Fermoy, Co. Cork",1040, Co. Cork
"15. City Square, Watercourse Road, Blackpool, Co. Cork",1600, Co. Cork
"16. Riverside Mews, North Mall, Cork City, Co. Cork",1295, Co. Cork
"17. Norwood Close, Rochestown, Co. Cork",1200, Co. Cork
"18. The Oaks, Wentworth Gardens, Bishopstown, Co. Cork",1252, Co. Cork
"19. Liosbourne, Carrigaline, Co. Cork",775, Co. Cork
"20. An Radharc, Maryborough Ridge, Maryborough Hill, Douglas, Co. Cork",1575, Co. Cork
"21. Hazel House, Garrane Dara, Sarsfield Road, Wilton, Co. Cork",1180, Co. Cork
"22. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"23. The Cloisters, Douglas, Co. Cork",1500, Co. Cork
"24. Farranlea road, Cork City, Co. Cork",2800, Co. Cork
"25. Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork
"26. Washington Street, Cork City, Co. Cork",864, Co. Cork
"27. Main St, Watergrasshill, Co. Cork",2500, Co. Cork
"28. Cork City Centre, Cork City, Co. Cork",1230, Co. Cork
"29. The Cloisters, Douglas, Co. Cork",1100, Co. Cork
"30. Alfred Street, Cork City, Co. Cork",1456, Co. Cork
"31. Cork City Centre, Cork City, Co. Cork",1903, Co. Cork
"32. 28 Lower Cork Street, Mitchelstown, Co. Cork",1000, Co. Cork
"33. Corrin Court, Cork Road, Fermoy, Co. Cork",795, Co. Cork
"34. 2 The Belfry, John O\'Connell Street, Cobh, Co. Co, Cobh, Co. Cork",1150, Co. Cork
"35. lios na greine turners cross, Cork City, Co. Cork",1100, Co. Cork
"36. ., Ballinascarty, Co. Cork",750, Co. Cork
"37. 13 Ownahincha Apartments, Ownahincha, Co. Cork",650, Co. Cork
"38. Tullyland, Bandon, Co. Cork",750, Co. Cork
"39. Apt. 1, 57 Pearse Street, Clonakilty, Co. Cork",775, Co. Cork
"40. Navillus, Togher (Cork City), Co. Cork",1200, Co. Cork
"41. Hollybrook, Orchard Road, Victoria Cross, Co. Cork",2000, Co. Cork
"42. 9 Summerstown Avenue, Glasheen, Co. Cork",1400, Co. Cork
"43. 49 Shearwater, Kinsale, Co. Cork",1750, Co. Cork
"44. 22 Granary Hall, Mount Oval Village, Rochestown, Co. Cork",1300, Co. Cork
"45. Welwyn Road, Douglas, Douglas, Co. Cork",1220, Co. Cork
"46. First Floor, 19 Military Road, St. Lukes, Co. Cork",1500, Co. Cork
"47. Ivy Court, Broomfield Village, Midleton, Co. Cork",1100, Co. Cork
"48. Barrack Street Ballyclough, Mallow, Co. Cork",650, Co. Cork
"49. 210 Pier Head. Allins Quay . Youghal. Co . Cork, Youghal, Co. Cork",750, Co. Cork
