House,Price,County,Room,Approx price per room
" Circular Road, Dunmore East, Co. Waterford",650, Co. Waterford,2,325.00
" Harbour View, Scotch Quay, Waterford City, Co. Waterford",850, Co. Waterford,2,425.00
" O'Gradys Yard, Johnstown, Waterford City, Co. Waterford",750, Co. Waterford,1,750.00
" Aylesbury Manor, Waterford City, Co. Waterford",350, Co. Waterford,1,350.00
" Harbour View, Canada Street, Waterford City, Co. Waterford",800, Co. Waterford,2,400.00
" The Old Infirmary, Johns Hill, Waterford City, Co. Waterford",850, Co. Waterford,2,425.00
" Apt. Waters Gate, Bilberry, Waterford City, Co. Waterford",950, Co. Waterford,2,475.00
" Apartment 1 21/22 Broad Street, Waterford City, Co. Waterford",2000, Co. Waterford,2,1000.00
" James Gate, Waterford City, Co. Waterford",750, Co. Waterford,1,750.00
" Apartment 3 21/22 Broad Street, Waterford City, Co. Waterford",2000, Co. Waterford,2,1000.00
" Esker Glenn, Bonavalley, Dublin Rd., Athlone, Co. Westmeath",1100, Co. Westmeath,3,366.67
" Bastion Quay, Athlone, Co. Westmeath",1400, Co. Westmeath,3,466.67
" Goldsmith Close, Athlone, Co. Westmeath",900, Co. Westmeath,2,450.00
" Trax, Retreat Road, Athlone, Co. Westmeath",925, Co. Westmeath,2,462.50
" Apt 3 Mildstone House, Golden Island, Athlone, Co. Westmeath",950, Co. Westmeath,2,475.00
" 22 Fry Court, Athlone, Co. Westmeath",950, Co. Westmeath,2,475.00
" Gortmore, Tang, Co. Westmeath",650, Co. Westmeath,2,325.00
" 39 Church View, Bastion Court, Connaught Street, Athlone, Co. Westmeath",835, Co. Westmeath,1,835.00
" 10 Whitcroft Court, Moate, Co. Westmeath",800, Co. Westmeath,2,400.00
" Belleview, Mullingar, Co. Westmeath",950, Co. Westmeath,2,475.00
" Apt 25, The Jolly Mariner Marina Village, Coosan, Athlone, Co. Westmeath",1100, Co. Westmeath,2,550.00
" 19 Radharc An Chuain, Mullingar, Co. Westmeath",950, Co. Westmeath,2,475.00
" Northgate street, Athlone, Co. Westmeath",1000, Co. Westmeath,2,500.00
" 29 Bastion Court, Athlone, Co. Westmeath",1000, Co. Westmeath,2,500.00
" 3 Galey House, Ard Ri, Athlone, Co. Westmeath",880, Co. Westmeath,2,440.00
" Rockbrook, Athlone, Co. Westmeath",800, Co. Westmeath,2,400.00
" 4 Marlinstown, Mullingar, Co. Westmeath",1000, Co. Westmeath,2,500.00
" 8 Teach na Greine Lynn Mullingar, Mullingar, Co. Westmeath",850, Co. Westmeath,2,425.00
" 29 Marlinstown Park, Mullingar, Co. Westmeath",800, Co. Westmeath,1,800.00
" Bastion Court, Connaught Street, Athlone, Co. Westmeath",850, Co. Westmeath,1,850.00
" Pearse street, Gorey, Co. Wexford",850, Co. Wexford,2,425.00
" Barrow Hall Mountgarrett New Ross, New Ross, Co. Wexford",900, Co. Wexford,2,450.00
" Station Court, The Avenue, Gorey, Co. Wexford",1000, Co. Wexford,2,500.00
" Keywest, The Quay, Wexford Town, Co. Wexford",850, Co. Wexford,2,425.00
" Rosslare Harbour, Rosslare Harbour, Co. Wexford",700, Co. Wexford,2,350.00
" Melrose Court, Georges Street, Wexford Town, Co. Wexford",720, Co. Wexford,1,720.00
" The Faythe, Wexford Town, Co. Wexford",1350, Co. Wexford,4,337.50
" Pinewood, Wexford Town, Co. Wexford",650, Co. Wexford,1,650.00
" Lr. Bride St, Wexford Town, Co. Wexford",650, Co. Wexford,1,650.00
" Millers Rest, Castlebridge, Co. Wexford",552, Co. Wexford,2,276.00
" The Green, Clonard Village, Wexford Town, Co. Wexford",825, Co. Wexford,3,275.00
" R741, Ballyedmond, Co. Wexford",540, Co. Wexford,1,540.00
" 54 Rosbercon Court, New Ross, Co. Wexford",650, Co. Wexford,2,325.00
" 12 Waterloo road Wexford, Wexford Town, Co. Wexford",600, Co. Wexford,1,600.00
" Lower Rosbercon, New Ross, Co. Wexford",650, Co. Wexford,3,216.67
" Rosbercon Court, New Ross, Co. Wexford",650, Co. Wexford,2,325.00
" Hilltown, Killinick, Co. Wexford",750, Co. Wexford,2,375.00
" Dunbrody Wharf, New Ross, Co. Wexford",675, Co. Wexford,2,337.50
" Apt. No. 6, The Pillar, King Street, Wexford Town, Co. Wexford",780, Co. Wexford,2,390.00
" Glebe, Meelnagh, Castletalbot, Blackwater, Co. Wexford",600, Co. Wexford,1,600.00
" 61 Church Drive, Eden Gate, Delgany, Co. Wicklow",1425, Co. Wicklow,2,712.50
" Silverdale, King Edward Road, Bray, Co. Wicklow",1800, Co. Wicklow,2,900.00
" Clearwater Court, Church Road, Greystones, Co. Wicklow",2000, Co. Wicklow,2,1000.00
" Wentworth Place, Wicklow Town, Co. Wicklow",1150, Co. Wicklow,1,1150.00
" Kilmurray South, Kilmacanogue, Co. Wicklow",1400, Co. Wicklow,1,1400.00
" 45A Kilgarron Park, Enniskerry, Co. Wicklow",1600, Co. Wicklow,3,533.33
" Roundwood Village, Roundwood, Co. Wicklow",1100, Co. Wicklow,2,550.00
" Ash Mews, Sidmonton Road, Bray, Co. Wicklow",1400, Co. Wicklow,1,1400.00
" Blacklion manor, Greystones, Co. Wicklow",2050, Co. Wicklow,3,683.33
" Church Road, Newtownmountkennedy, Co. Wicklow",1000, Co. Wicklow,1,1000.00
" Charlesland Park, Greystones, Co. Wicklow",1820, Co. Wicklow,3,606.67
" Knocknamuck, Grange Con, Co. Wicklow",700, Co. Wicklow,2,350.00
" Charlesland Court, Greystones, Co. Wicklow",1650, Co. Wicklow,3,550.00
" Burnaby Mews, Greystones, Co. Wicklow",1600, Co. Wicklow,2,800.00
" Slaney Park, Baltinglass, Co. Wicklow",1000, Co. Wicklow,2,500.00
" 1 The Green, Quldara B, Main Street, Blessington, Co. Wicklow",1450, Co. Wicklow,2,725.00
" 27 The Mill, Baltinglass, Co. Wicklow",900, Co. Wicklow,2,450.00
" Rockview Park, Arklow, Co. Wicklow",1100, Co. Wicklow,2,550.00
" main street, Carnew, Co. Wicklow",700, Co. Wicklow,1,700.00
" “The Mews”, Roseair, Eden road, Greystones, Co. Wi, Greystones, Co. Wicklow",1750, Co. Wicklow,2,875.00
