House,Price,County,Room,Approx price per room
" The Barn, Killylastin, Letterkenny, Co. Donegal",500, Co. Donegal,1,500.00
" 7 Carlinn's Cove, Rostrevor, Co. Down",700799, Co. Down,3,233599.67
" 20 Belfield Park, Stillorgan, Co. Dublin",2100, Co. Dublin,2,1050.00
" Shelbourne Road Apartments, Ballsbridge, Dublin 4",3600, Dublin 4,2,1800.00
" The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin,2,975.00
" Inglenook Wood, Glenamuck Road, Carrickmines, Carrickmines, Dublin 18",2100, Dublin 18,2,1050.00
" Cathedral Court, Dublin 2",2800, Dublin 2,2,1400.00
" Cathedral Court, Dublin 2",2250, Dublin 2,1,2250.00
" Capital Dock, Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2",3300, Dublin 2,2,1650.00
" Vico Terrace, Vico Road, Dalkey, Co. Dublin",7000, Co. Dublin,3,2333.33
" Bushy Park House, Terenure, Dublin 6w",1792, Dublin 6w,1,1792.00
" Adelaide Square, Dublin 2",3400, Dublin 2,2,1700.00
" Sweepstakes, Ballsbridge, Dublin 4",3000, Dublin 4,3,1000.00
" 30 The Marker residence, Grand Canal Dock, Dublin 2",3535, Dublin 2,2,1767.50
" Herbert Park Lane, Ballsbridge, Dublin 4",4000, Dublin 4,2,2000.00
" The Marker Residence, Grand Canal Dock, Dublin 2",3000, Dublin 2,2,1500.00
" 532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18,2,1150.00
" Levmoss Hall, the Gallops, Leopardstown, Dublin 18",2250, Dublin 18,2,1125.00
" The Grange, Brewery Road, Stillorgan, Co. Dublin",2400, Co. Dublin,2,1200.00
" Clancy Quay by Kennedy Wilson, Dublin 8",1700, Dublin 8,1,1700.00
" Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18,3,979.67
" Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2300, Dublin 18,2,1150.00
" Apartment 2, Garrison, Co. Fermanagh, BT93 4AE",400456, BT93 4AE,2,200228.00
" Sliabh Ard, Bothar Stiofan, Knocknacarra, Co. Galway",968, Co. Galway,2,484.00
" Edward Square Apartments, Barrack Lane, Galway City, Co. Galway",988, Co. Galway,3,329.33
" Garran Ard, Doughiska, Co. Galway",1300, Co. Galway,3,433.33
" Gleann Na Ri, Murrough, Renmore, Renmore, Co. Galway",1065, Co. Galway,2,532.50
" Lios Ealtain, Nile Lodge, Galway City, Co. Galway",1500, Co. Galway,3,500.00
" Abbey Court, Mary Street, Galway City, Co. Galway",1250, Co. Galway,2,625.00
" Castle Street, Galway City, Co. Galway",1300, Co. Galway,2,650.00
" 6A Rocklands Ave, Ballybane, Co. Galway",550, Co. Galway,1,550.00
" No. 81 Coill Tire, Doughiska, Co. Galway",1800, Co. Galway,2,900.00
" 108 Bluebell Woods, Oranmore, Co Galway, Oranmore, Co. Galway",1100, Co. Galway,2,550.00
" No. 12 An Creagan, Barna, Co. Galway",1400, Co. Galway,2,700.00
" Annaghill, Lackagh, Co. Galway",600, Co. Galway,1,600.00
" Ce Na Mara, The Docks, Galway City, Co. Galway",1500, Co. Galway,2,750.00
" Serviced Apartment, Lough Atalia, Galway City, Co. Galway",2600, Co. Galway,2,1300.00
" Sheerwater House, Galway City, Co. Galway",2000, Co. Galway,2,1000.00
" An Creagan, Barna, Co. Galway",1350, Co. Galway,2,675.00
" Ocean Towers, Blackrock, Salthill, Co. Galway",1600, Co. Galway,2,800.00
" LIOS EALTÁN, LOWER SALTHILL, Salthill, Co. Galway",1250, Co. Galway,2,625.00
" Shannon Oaks St Joesphs Road, Portumna, Co. Galway",700, Co. Galway,2,350.00
" Silverseas, Knocknacarra, Co. Galway",1500, Co. Galway,2,750.00
" Tralee Marina, Tralee, Co. Kerry",825, Co. Kerry,2,412.50
" Tralee Marina, Tralee, Co. Kerry",800, Co. Kerry,2,400.00
" The Anchorage, Tralee, Co. Kerry",800, Co. Kerry,2,400.00
" An Sean Mhuileann, Tralee, Co. Kerry",795, Co. Kerry,2,397.50
" William Street, Listowel, Co. Kerry",480, Co. Kerry,2,240.00
" Market Passage, The Mall, Tralee, Co. Kerry",650, Co. Kerry,2,325.00
" Park Road, Killarney, Co. Kerry",980, Co. Kerry,2,490.00
" Cuirt Cleady, Glanerought, Kenmare, Co. Kerry",700, Co. Kerry,2,350.00
" 12 Grosvenor Court, High Street, Killarney, Co. Kerry",850, Co. Kerry,2,425.00
" Ref 777 - Apartment, New Street, Cahersiveen, Co. Kerry",600, Co. Kerry,2,300.00
" Park Road, Killarney, Co. Kerry",1050, Co. Kerry,2,525.00
" Killarney Road, Castleisland, Co. Kerry",520, Co. Kerry,2,260.00
" Killorglin Town Centre, Killorglin, Co. Kerry",700, Co. Kerry,2,350.00
" Main Street, Killorglin, Co. Kerry",600, Co. Kerry,2,300.00
" Apt 1 Scrahan Place, Ross road, Killarney, Co. Kerry",900, Co. Kerry,2,450.00
