House,Price,County
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim
"1. 7 Chaff Street, Graiguecullen, Carlow Town, Co. Carlow",900, Co. Carlow
"2. Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow
"3. Riverdell, Haymarket, Carlow Town, Co. Carlow",900, Co. Carlow
"4. Glynn, St. Mullins, Co. Carlow",700, Co. Carlow
"1. Catherdal Road, Cavan, Cavan, Co. Cavan",600, Co. Cavan
"2. 13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan
"3. Cluain Aoibhinn Court, Swellan, Cavan, Co. Cavan",600, Co. Cavan
"4. 2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan
"5. Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan
"6. Apartment 25 Canal Bank Walk, Castleforde Ballycon, Ballyconnell, Co. Cavan",600, Co. Cavan
"7. Co Cavan, Lough Gowna, Co. Cavan",500, Co. Cavan
"8. Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan
"9. Church Street, Cavan, Co. Cavan",750, Co. Cavan
"10. The Plaza College Street, Cavan, Co. Cavan",700, Co. Cavan
"11. Apartment NO 3, Gortoolan Ballyconnell Co Cavan, Ballyconnell, Co. Cavan",400, Co. Cavan
"12. Arasain Pheadair Bawnboy, Ballyconnell, Co. Cavan",500, Co. Cavan
"13. blacklion, Blacklion, Co. Cavan",450, Co. Cavan
"14. Apt 5, The Elms, Woodford Meadows, Ballyconnell, Co. Cavan",550, Co. Cavan
"1. Salthouse Lane, Ennis, Co. Clare",800, Co. Clare
"2. Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"3. Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare
"4. 156 Bru na Sionna, Shannon, Co. Clare",1000, Co. Clare
"5. Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare
"6. Moore Street, Kilrush, Co. Clare",400, Co. Clare
"7. Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare
"8. CUIRT an FHILE, ROSLEVAN, Ennis, Co. Clare",750, Co. Clare
"9. Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"10. Inis Chlair, Clarecastle, Co. Clare",850, Co. Clare
"11. Merchants Quay, Kilrush, Co. Clare",700, Co. Clare
"12. Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare
"13. 3 Merchant\'s Quay, Kilrush, Co. Clare",360, Co. Clare
"1. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"2. The Elysian, Eglinton Street, Cork City, Co. Cork",3170, Co. Cork
"3. River Towers, Lee Road, Cork City, Co. Cork",2400, Co. Cork
"4. Welwyn road, Maryborough woods, Douglas, Co. Cork",1300, Co. Cork
"5. Pembroke Grove, Passage West, Co. Cork",1400, Co. Cork
"6. The Oaks, Wentworth Gardens, Bishopstown, Co. Cork",1252, Co. Cork
"7. Liosbourne, Carrigaline, Co. Cork",775, Co. Cork
"8. Apartment 506 The Heron, Jacobs Island, Ballinure, Co. Cork",1248, Co. Cork
"9. An Radharc, Maryborough Ridge, Maryborough Hill, Douglas, Co. Cork",1575, Co. Cork
"10. Hazel House, Garrane Dara, Sarsfield Road, Wilton, Co. Cork",1180, Co. Cork
"11. Crawford View, Emmet Place, Cork City, Co. Cork",1800, Co. Cork
"12. No. 3 Egmont Court, Earl Street, Kanturk, Co. Cork, Kanturk, Co. Cork",700, Co. Cork
"13. 22 Granary Hall, Mount Oval Village, Rochestown, Co. Cork",1300, Co. Cork
"14. 67A Main St, Kinsale, Co. Cork",1900, Co. Cork
"15. 3 Manhattan Apartments Lower O Connell St, Kinsale, Co. Cork",1200, Co. Cork
"16. Ivy Court, Broomfield Village, Midleton, Co. Cork",1100, Co. Cork
"17. Cois Na hAbhann, Bailick Road, Midleton, Co. Cork",1250, Co. Cork
"18. Desmond Court, Cork Street, Kinsale, Co. Cork",850, Co. Cork
"19. Navillus, Togher (Cork City), Co. Cork",1200, Co. Cork
"20. Hollybrook, Orchard Road, Victoria Cross, Co. Cork",2000, Co. Cork
"21. Silverpoint, Silversprings, Co. Cork",1450, Co. Cork
