House,Price,County
"53. Hollybrook, Orchard Road, Victoria Cross, Co. Cork",2000, Co. Cork
"54. North St, Skibbereen, Co. Cork",650, Co. Cork
"55. Quay, Main st, Skibbereen, Co. Cork",775, Co. Cork
"56. Newmills Brownsmills Kinsale, Kinsale, Co. Cork",1200, Co. Cork
"57. Ardnavaha House, Clonakilty, Co. Cork",550, Co. Cork
"58. Rutland Place, South Terrace, Cork City, Co. Cork",1400, Co. Cork
"59. Fernwood Court, Glanmire, Co. Cork",1250, Co. Cork
"60. 37 Downview, Faranlea Road, Cork City, Victoria Cross, Co. Cork",2600, Co. Cork
"61. Fernwood Court, Glanmire, Co. Cork",1250, Co. Cork
"62. River Wharf, Mill Road, Midleton, Co. Cork",1250, Co. Cork
"63. Watergold, Douglas, Co. Cork",1750, Co. Cork
"64. Granary Court, Watercourse Road, Near The Heineken, Cork City, Co. Cork",1650, Co. Cork
"65. Church St Dromcollogher, Charleville, Co. Cork",240, Co. Cork
"66. 5 Newmills, Brownsmills, Kinsale, Co. Cork",1400, Co. Cork
"67. Main Street, Ballycotton, Midleton, Co. Cork",850, Co. Cork
"68. City Square, Watercourse Road, Blackpool, Co. Cork",1600, Co. Cork
"69. Desmond Court, Cork Street, Kinsale, Co. Cork",850, Co. Cork
"70. Apt, 7, West Beach, Cobh, Co. Cork",775, Co. Cork
"71. Woodville, Rochestown, Co. Cork",1200, Co. Cork
"72. Windmere, Cross Douglas road, Douglas, Co. Cork",1950, Co. Cork
"73. Coach house Upper lacknalooha, Mallow, Co. Cork",650, Co. Cork
"74. 5 The Arches, Halfway Village, Ballinhassig, Co. Cork",1100, Co. Cork
"75. 6 Mill Race, McSwiney Quay, Bandon, Co. Cork",750, Co. Cork
"76. 3 The Malthouse, Kinsale, Co. Cork",1200, Co. Cork
"77. Crawford View, Emmet Place, Cork City, Co. Cork",1800, Co. Cork
"78. Harbour Row 7, Cobh, Co. Cork",700, Co. Cork
"79. 59 MacCurtain Street, Cork City, Co. Cork",3400, Co. Cork
"80. The Promenade, Fermoy, Co. Cork",1040, Co. Cork
