House Index,Address,Price,County,Room,Approx price per room
1,"Hanover Court, Carlow Town, Co. Carlow",950, Co. Carlow,3,316.67
2,"Hunters Green(Ref 201) Pollerton, Carlow Town, Co. Carlow",1000, Co. Carlow,3 ,333.33
3,"Clonagoose, Borris, Co. Carlow",800, Co. Carlow,3,266.67
4,"35 Riverside Hanover Carlow, Carlow Town, Co. Carlow",260, Co. Carlow,6 ,43.33
5,"4 Meadows Way, Springhill Road, Carlow Town, Co. Carlow",1100, Co. Carlow,3 ,366.67
6,"Barrowvale, Graiguecullen, Co. Carlow",1300, Co. Carlow,4 ,325.00
7,"Mullawn Crescent, Tullow, Co. Carlow",880, Co. Carlow,3 ,293.33
8,"Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 ,366.67
9,"Garryhill, Garryhill, Co. Carlow",1200, Co. Carlow,3 ,400.00
10,"Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 ,237.50
11,"Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 ,425.00
12,"The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,1,550.00
13,"2 Main Street, Oldleighlin, Co. Carlow",800, Co. Carlow,2,400.00
14,"Askea, Carlow Town, Co. Carlow",320, Co. Carlow,1,320.00
15,"Milltown, Garryhilll, Garryhill, Co. Carlow",1300, Co. Carlow,4 ,325.00
16,"1 John Street R93v262, Graiguecullen, Co. Carlow",550, Co. Carlow,1 ,550.00
17,"Browneshill, Carlow Town, Co. Carlow",900, Co. Carlow,2 ,450.00
18,"Gilbertstown Rathoe, Rathoe, Co. Carlow",320, Co. Carlow,3 ,106.67
19,"Brotherton, Graiguecullen, Co. Carlow",1100, Co. Carlow,3 ,366.67
20,"20 Mount Clare Court, Graiguecullen, Co. Carlow",1100, Co. Carlow,3 ,366.67
21,"22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 ,300.00
22,"Longwood, Bennekerry, Carlow Town, Co. Carlow",1500, Co. Carlow,4 ,375.00
1,"32 Latt Hill, Cavan, Co. Cavan",750, Co. Cavan,3 ,250.00
2,"24 Parkview, Ballyjamesduff, Co. Cavan",900, Co. Cavan,5 ,180.00
3,"Bruskey, Ballinagh, Co. Cavan",600, Co. Cavan,4 ,150.00
4,"No.1 Lough sillan lodge, shercock, co. cavan, Shercock, Co. Cavan",995, Co. Cavan,4 ,248.75
5,"9 Corkerstown, Shercock, Co. Cavan",850, Co. Cavan,4 ,212.50
6,"Ard na laoi, Cavan, Co. Cavan",900, Co. Cavan,4 ,225.00
7,"Amberwood, Ballyconnell, Co. Cavan",700, Co. Cavan,3 ,233.33
8,"19 Bruce Hill Manor, Arva, Co. Cavan",650, Co. Cavan,3 ,216.67
9,"Drumgill, Kingscourt, Co. Cavan",900, Co. Cavan,3 ,300.00
10,"10 Ard na Laoi, Cavan, Co. Cavan",800, Co. Cavan,4 ,200.00
11,"Barora Park, Bailieborough, Co. Cavan",850, Co. Cavan,4 ,212.50
12,"New Street No 14, Virginia, Co. Cavan",750, Co. Cavan,3,250.00
13,"Deerpark, Virginia, Co. Cavan",700, Co. Cavan,2,350.00
14,"woodview, Bailieborough, Co. Cavan",675, Co. Cavan,3,225.00
15,"Clanmahon Place, Ballinagh, Co. Cavan",550, Co. Cavan,3 ,183.33
16,"25 Henry Street, Bailieborough, Co. Cavan",600, Co. Cavan,2 ,300.00
17,"26 Henry St. Bailieborough, Co. Cavan, Bailieborough, Co. Cavan",600, Co. Cavan,2 ,300.00
18,"Maple Drive 32, Cavan, Co. Cavan",800, Co. Cavan,3 ,266.67
19,"Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 ,225.00
20,"Stranadarragh, Ballinamore, Bawnboy, Co. Cavan",500, Co. Cavan,3,166.67
21,"Ballyhugh, Ballyconnell, Co. Cavan",500, Co. Cavan,2,250.00
1,"21 Marine Village, Ballina, Killaloe, Co. Clare",1400, Co. Clare,3 ,466.67
2,"5 Árd Aoibhinn, Limerick Road, Ennis, Co. Clare",1500, Co. Clare,4 ,375.00
3,"5 Dromard, Lahinch Road, Ennis, Co. Clare",1600, Co. Clare,4 ,400.00
4,"Ennis Road, Miltown Malbay, Co. Clare",750, Co. Clare,5 ,150.00
5,"Moyard, Ennis, Co. Clare",950, Co. Clare,4 ,237.50
6,"Castlerock, Ennis, Co. Clare",850, Co. Clare,4 ,212.50
7,"The Hawthrorns, Limerick Road, Ennis, Co. Clare",850, Co. Clare,3 ,283.33
8,"Wood Road, Cratloe, Co. Clare",1100, Co. Clare,3,366.67
9,"Moymore, Lahinch, Co. Clare",1000, Co. Clare,3 ,333.33
10,"The Willows, Oakleigh Wood, Ennis, Co. Clare",1200, Co. Clare,5 ,240.00
11,"Meelick, Whitegate, Scarriff, Co. Clare",1100, Co. Clare,4 ,275.00
12,"The Park, Ennis, Co. Clare",1350, Co. Clare,4 ,337.50
13,"Dun Na Mara Doonbeg, Doonbeg, Co. Clare",900, Co. Clare,4 ,225.00
14,"12 Cluain Uilinn, Miltown Malbay, Co. Clare",700, Co. Clare,3 ,233.33
15,"14 Ard na Mainistreach, Quin, Ennis, Co. Clare",900, Co. Clare,3 ,300.00
16,"Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 ,333.33
17,"Lisroe, Kilmaley, Co. Clare",950, Co. Clare,6 ,158.33
18,"1 Miltown Road, Kilkee, Co. Clare",800, Co. Clare,4 ,200.00
19,"dun na manach, Quin, Co. Clare",850, Co. Clare,3 ,283.33
20,"Dun Meadbhe, Lahinch, Co. Clare",700, Co. Clare,4,175.00
21,"18 French Court, Clonroad, Ennis, Co. Clare",850, Co. Clare,3 ,283.33
22,"Ivy Cottage, Parteen, Co. Clare",1000, Co. Clare,4 ,250.00
23,"Lakes Village, Killaloe, Co. Clare",825, Co. Clare,2,412.50
24,"22 Lios Rua, Shannon, Co. Clare",1000, Co. Clare,3 ,333.33
25,"1 Ballinacragga, Newmarket on Fergus, Co. Clare",1200, Co. Clare,5 ,240.00
26,"Carrowmeer House, Carrowmeer, Newmarket on Fergus, Co. Clare",1000, Co. Clare,5 ,200.00
27,"28 Ard Caoin, Gort Road, Ennis, Co. Clare",895, Co. Clare,3 ,298.33
28,"91 Dromiard, Drumcliffe Road, Ennis, Co. Clare",1250, Co. Clare,4 ,312.50
29,"knockraderry, Liscannor, Co. Clare",950, Co. Clare,3 ,316.67
30,"2 Riverview Terrace, Ennistymon, Co. Clare",675, Co. Clare,2,337.50
31,"59c Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 ,333.33
32,"5 Carnelly Woods, Clarecastle, Co. Clare, Ennis, Co. Clare",3000, Co. Clare,5 ,600.00
1,"Millers Court, Old Quarter, Ballincollig, Co. Cork",1800, Co. Cork,3 ,600.00
2,"Emmet Street, Mallow, Co. Cork",850, Co. Cork,3,283.33
3,"Willowmeade, Model Farm Road, Co. Cork",2500, Co. Cork,4 ,625.00
4,"Worlds End, Kinsale, Co. Cork",1800, Co. Cork,3 ,600.00
5,"43, Palmbury Orchard, Pouladuff, Co. Cork",950, Co. Cork,1,950.00
6,"Kealties, Durrus, Co. Cork",900, Co. Cork,3,300.00
7,"Ballingeary, Macroom, Co. Cork",1200, Co. Cork,3 ,400.00
