House,Price,County,Room
"10. 9 Cedargrove, Mallow, Co. Cork",1150, Co. Cork,3
"11. 9 Woodhaven, Bishopstown, Co. Cork",1625, Co. Cork,3 
"12. Tiffany Downs, Bishopstown, Bishopstown, Co. Cork",1350, Co. Cork,3 
"13. Blarney Village, Blarney, Co. Cork",2400, Co. Cork,4 
"14. Coomhola Bridge, Bantry, Co. Cork",1100, Co. Cork,5 
"15. Cricklewood, Condonstown North, Watergrasshill, Co. Cork",1350, Co. Cork,4 
"16. Seanacloc, Tower, Co. Cork",1500, Co. Cork,3 
"17. 95A High Street, Cork City, Co. Cork",1400, Co. Cork,2
"18. \'Elgo Cottage\', Middle Road, Crosshaven, Co. Cork",675, Co. Cork,1
"19. Sherwood Blackrock Road, Blackrock, Co. Cork",4000, Co. Cork,4 
"20. Riverhouse, Tisaxon Beg, Kinsale, Co. Cork",2200, Co. Cork,4
"21. Carrigrohane, Carrigrohane, Co. Cork",2500, Co. Cork,5 
"22. The Courtyard Lodge, Longueville House, Ballycloug, Mallow, Co. Cork",3300, Co. Cork,5 
"23. Lisheen Fields, Ballincollig, Co. Cork",1750, Co. Cork,5 
"24. Beara, Ballincollie Road, Ballyvolane, Co. Cork",1500, Co. Cork,4 
"25. Lee Valley, Lee Valley gold club, Ovens, Co. Cork",1200, Co. Cork,3
"26. Bishopscourt Drive, Bishopstown, Co. Cork",2100, Co. Cork,4 
"27. Belfield Abbey, Boreenmanna Road, Ballintemple, Co. Cork",1650, Co. Cork,2 
"28. 24 Curra Woods, Riverstick, Co. Cork",1800, Co. Cork,4 
"29. Lake Lawn, Douglas, Co. Cork",1600, Co. Cork,3
"30. Elm Grove, Gort An Oir, Castlemartyr, Co. Cork",1050, Co. Cork,3 
"31. 103 Old Court, Greenfields, Ballincollig, Co. Cork",1850, Co. Cork,4 
"32. Welwyn Road, Maryborough Woods, Douglas, Co. Cork",1383, Co. Cork,3 
"33. Clonleigh, Newtownshandrum, Charleville, Co. Cork",850, Co. Cork,3 
"34. Victoria Village, Farranlea Road, Victoria Cross, Co. Cork",1800, Co. Cork,3
"35. Brookfield Villas, College Road, Cork City, Co. Cork",3000, Co. Cork,5 
"36. Coolmaine Mews, Kinsale Manor, Kinsale, Co. Cork",1800, Co. Cork,3 
"37. Pearse Terrace, Mallow, Co. Cork",1050, Co. Cork,3 
"38. Beaupre, Rochestown Road, Rochestown, Co. Cork",1600, Co. Cork,4 
"39. Main Street, Ballyclough, Mallow, Co. Cork",900, Co. Cork,3
"40. 16 The Orchard, Skibbereen, Co. Cork",875, Co. Cork,3
"41. Goggins Hill, Ballinhassig, Co. Cork",950, Co. Cork,2 
"42. Ardnageehy Ballyhea, Charleville, Co. Cork",600, Co. Cork,2
"43. The Terrace, Freemount, Co. Cork",650, Co. Cork,3
"44. Cromogue, Milford, Co. Cork",650, Co. Cork,3 
"45. 20 Allow Hill, Freemount, Charleville, Co. Cork",700, Co. Cork,3 
"46. Georges Street, Churchtown, Co. Cork",550, Co. Cork,2
"47. Ballinacurra, Midleton, Co. Cork",1150, Co. Cork,3
"48. Coolavokig, Macroom, Co. Cork",800, Co. Cork,3
"49. Pouladuff Road, Pouladuff, Co. Cork",1079, Co. Cork,3 
"50. Dewberry, Mount Oval Village, Rochestown, Co. Cork",1648, Co. Cork,4 
"51. Woodstock Hall, Carrigtwohill, Co. Cork",3200, Co. Cork,6 
"52. Rhodaville Estate, Off Main Douglas Road, Douglas, Co. Cork",1840, Co. Cork,3 
"53. Firgrove Drive, Bishopstown, Co. Cork",1900, Co. Cork,4 
"54. Church Road, Blackrock, Co. Cork",1200, Co. Cork,
"55. The Granary, Bailick Road, Midleton, Co. Cork",1250, Co. Cork,3 
"56. Sunday's Well Road, Sunday's Well, Co. Cork",1800, Co. Cork,4 
"57. The Grove, Coolroe Meadows, Ballincollig, Co. Cork",2200, Co. Cork,4 
"58. Balady House, Belgooly, Kinsale, Co. Cork",2750, Co. Cork,5 
"59. No. 2 Harbour View Holiday Village, Glengarriff, Co. Cork",700, Co. Cork,4
"60. Cloughduv Village, Cloughduv, Co. Cork",1200, Co. Cork,3 
"61. Cloughduv Village, Cloughduv, Co. Cork",1200, Co. Cork,3 
"62. 72 Seanabothair, Killeens, Co. Cork",1500, Co. Cork,4 
"63. Ring, Ballymacoda, Co. Cork",1000, Co. Cork,4 
"64. 26 Shoulders Lane, Mallow, Co. Cork",1150, Co. Cork,3 
"65. The Crescent, Greenvalley, Donnybrook, Douglas, Co. Cork",1500, Co. Cork,3 
"66. CHAPEL SQUARE, Fermoy, Co. Cork",950, Co. Cork,3 
"67. Maple Woods, Ballinacurra, Midleton, Co. Cork",1395, Co. Cork,3 
"68. Gerald Griffin Street, Cork City, Co. Cork",920, Co. Cork,2
"69. Friars walk, Cork City, Co. Cork",1900, Co. Cork,5 
"70. Dun Eoin, Carrigaline, Co. Cork",1230, Co. Cork,3 
"71. Main St, Watergrasshill, Co. Cork",1500, Co. Cork,3 
"72. Oakbrook, Carrigtwohill, Co. Cork",1400, Co. Cork,3 
"73. Curragh Woods, Cork City, Co. Cork",1600, Co. Cork,3 
"74. Cork City, Cork City, Co. Cork",2400, Co. Cork,3 
"75. Curragh Woods, Frankfield, Co. Cork",1600, Co. Cork,3 
"76. Model Village, Tower, Co. Cork",1800, Co. Cork,5 
"77. Inchigaggin Lane, Model Farm Road, Co. Cork",2400, Co. Cork,3 
"78. Shamrock Lawn, Cork City, Co. Cork",1400, Co. Cork,3 
"79. Eagle valley, Cork City, Co. Cork",1515, Co. Cork,4 
"80. Dromidclough Derrigra, Ballineen, Co. Cork",400, Co. Cork,1
"81. Main Street, Carrigtwohill, Co. Cork",2200, Co. Cork,4 
"82. Ballygrace, Churchtown, Co. Cork",600, Co. Cork,
"83. The Moorings, Skibbereen, Co. Cork",850, Co. Cork,3 
"84. Oakview Dromahane, Mallow, Co. Cork",1100, Co. Cork,3 
"85. Sheraton Court, Hartlands Avenue, Cork City, Co. Cork",1287, Co. Cork,2
"86. No. 4 Orchard View, Hillview, Banteer, Co. Cork",900, Co. Cork,3
"87. Snave Ballylickey Bantry, Bantry, Co. Cork",800, Co. Cork,3
"88. Ringmahon Avenue, Mahon, Co. Cork",850, Co. Cork,
"89. ., Adrigole, Co. Cork",700, Co. Cork,6 
"90. Derrynagasha, Dunderrow, Kinsale, Co. Cork",1800, Co. Cork,3 
"91. Gurteen House, Gurteen, Bandon, Co. Cork",1500, Co. Cork,5 
"92. Limerick Rd, Kildorrery near, Mitchelstown, Co. Cork",975, Co. Cork,3 
"93. Limerick Rd, Kildorrery near, Fermoy, Co. Cork",975, Co. Cork,3 
"94. Look out Main Street, Castletownshend, Co. Cork",800, Co. Cork,3 
"95. Glentaff, Union Hall, Co. Cork",600, Co. Cork,3
"96. Rosscarrig Rathmore, Baltimore, Co. Cork",1300, Co. Cork,4 
"97. Minanes, Drinagh, Co. Cork",1300, Co. Cork,6 
"98. The Paddock Drinagh Village, Drinagh, Co. Cork",450, Co. Cork,
"99. Millview Terrace, Skibbereen, Co. Cork",850, Co. Cork,3 
"100. Main Street, Drimoleague, Co. Cork",850, Co. Cork,4 
"101. Reenmurraga, Church Cross, Skibbereen, Co. Cork",800, Co. Cork,3
"102. Rockmount, Drimoleague, Co. Cork",800, Co. Cork,4 
"103. Teernaspideoga, Inchigeelagh, Co. Cork",400, Co. Cork,2
"104. Millview, Kanturk, Co. Cork",1100, Co. Cork,4 
"105. 1 Rosewood Lawn, Bandon, Co. Cork",1200, Co. Cork,4 
"106. The Sycamores, Model Farm Road, Co. Cork",2150, Co. Cork,5 
"107. Kanturk, Mallow, Co. Cork",1200, Co. Cork,4 
"108. Walshestown, Churchtown, Mallow, Churchtown, Co. Cork",1000, Co. Cork,3 
"109. 47 Forest Ridge, Doughcloyne, Co. Cork",1700, Co. Cork,3 
"110. Kilbarry, Fermoy, Co. Cork",900, Co. Cork,3 
"111. 14 Post Office Avenue, Blackrock, Co. Cork",1350, Co. Cork,2
"112. 6 Glandore Mews, Glandore, Co. Cork",850, Co. Cork,3 
"113. Coolbawn, Caheragh, Drimoleague, Co. Cork",850, Co. Cork,3 
"114. Kilpatrick, Bandon, Co. Cork",1300, Co. Cork,4 
"115. 5 Rosewood Avenue, Ballylangley, Bandon, Co. Cork",1400, Co. Cork,4 
