House,Price,County,Room
"1. Rathana, Borris, Co. Carlow",1250, Co. Carlow,5 
"2. 1 John Street R93v262, Graiguecullen, Co. Carlow",550, Co. Carlow,1
"3. Browneshill, Carlow Town, Co. Carlow",900, Co. Carlow,2 
"4. Garryhill, Garryhill, Co. Carlow",1200, Co. Carlow,3 
"5. Gilbertstown Rathoe, Rathoe, Co. Carlow",320, Co. Carlow,3 
"6. Brotherton, Graiguecullen, Co. Carlow",1100, Co. Carlow,3 
"7. Newton Place, Bachelors' Walk, Bagenalstown, Co. Carlow",995, Co. Carlow,2 
"8. 20 Mount Clare Court, Graiguecullen, Co. Carlow",1100, Co. Carlow,3 
"9. Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 
"10. Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 
"11. Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 
"12. Lime Grove, Palatine, Carlow, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"13. Mountgara, Carlow Town, Co. Carlow",1300, Co. Carlow,4 
"14. Dolmen Gardens, Pollerton, Co. Carlow",1200, Co. Carlow,4 
"15. 140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,4 
"16. Coolkenno, Tullow, Co. Carlow",800, Co. Carlow,8
"17. The vale, graigcullen, Carlow Town, Co. Carlow",1000, Co. Carlow,3 
"18. 22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 
"19. 3A Oakview, Athy Road, Carlow Town, Co. Carlow",400, Co. Carlow,4 
"20. Longwood, Bennekerry, Carlow Town, Co. Carlow",1500, Co. Carlow,4 
"1. Bramblewood Court, Kingscourt, Co. Cavan, Kingscourt, Co. Cavan",900, Co. Cavan,4 
"2. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"3. Yew Park, Virginia, Co. Cavan",850, Co. Cavan,4 
"4. 23 Springfield cavan, Cavan, Co. Cavan",750, Co. Cavan,3 
"5. The Hawthorns, Bailieborough, Co. Cavan",895, Co. Cavan,3 
"6. Kingscourt, Kingscourt, Co. Cavan",1200, Co. Cavan,6 
"7. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"8. woodview, Bailieborough, Co. Cavan",675, Co. Cavan,3
"9. 26 Henry St. Bailieborough, Co. Cavan, Bailieborough, Co. Cavan",600, Co. Cavan,2 
"10. belturbet cavan, Belturbet, Co. Cavan",800, Co. Cavan,4 
"11. Bramble Rise, Cavan, Co. Cavan",850, Co. Cavan,4 
"12. Ballyhugh, Ballyconnell, Co. Cavan",500, Co. Cavan,2
"1. The Park, Ennis, Co. Clare",1350, Co. Clare,4 
"2. 5 Árd Aoibhinn, Limerick Road, Ennis, Co. Clare",1500, Co. Clare,4 
"3. Clondanagh, Tulla, Co. Clare",750, Co. Clare,4
"4. Killestry Cottage, Killaloe, Co. Clare",800, Co. Clare,3 
"5. Ivy Cottage, Parteen, Co. Clare",1000, Co. Clare,4 
"6. Carrowmore, Doonbeg, Co. Clare",600, Co. Clare,3
"7. Lakes Village, Killaloe, Co. Clare",825, Co. Clare,2
"8. Maghera, Inagh, Ennis, Co. Clare., Inagh, Co. Clare",600, Co. Clare,3
"9. Fishermans Walk, Killaloe, Co. Clare",975, Co. Clare,3 
"10. 12 Bruach na Abhainn, Ennis, Co. Clare",900, Co. Clare,3 
"11. 86 The Hawthorns, Limerick Road, Ennis, Co. Clare",1000, Co. Clare,5 
"12. 5 Killeen, Corofin, Co. Clare",600, Co. Clare,3
"13. 34 Inis Ogra, Sixmilebridge, Co. Clare",900, Co. Clare,5 
"14. 41 Gleann an Oir, Shannon, Co. Clare",1000, Co. Clare,5 
"15. Kilnasoolagh, Newmarket on Fergus, Co. Clare",800, Co. Clare,4
"16. Carrowmeer House, Carrowmeer, Newmarket on Fergus, Co. Clare",1000, Co. Clare,5 
"17. Dun Meadbhe, Lahinch, Co. Clare",700, Co. Clare,4
"18. 18 French Court, Clonroad, Ennis, Co. Clare",850, Co. Clare,3 
"19. Ennis Road, Miltown Malbay, Co. Clare",750, Co. Clare,5 
"20. 35 Shanacloon, Shanballa, Ennis, Co. Clare",800, Co. Clare,2 
"21. 59c Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 
"22. 22 Glenoir, Ennis, Co. Clare",900, Co. Clare,3
"23. 1 Miltown Road, Kilkee, Co. Clare",3200, Co. Clare,4 
"24. Corofin, Corofin, Co. Clare",700, Co. Clare,3 
"25. Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 
"26. Lisroe, Kilmaley, Co. Clare",950, Co. Clare,6 
"27. 24 clover hill tulla rd ennis., Ennis, Co. Clare",950, Co. Clare,4 
"28. Lacknashannagh, Kildysart, Co. Clare",695, Co. Clare,2 
"29. 9 The Crescent, Miltown Malbay, Co. Clare",650, Co. Clare,3 
"30. Dun Na Mara Doonbeg, Doonbeg, Co. Clare",900, Co. Clare,4 
"31. Garrihys Cross House, Doolin, Co. Clare",800, Co. Clare,3 
"32. querrin, Kilkee, Co. Clare",600, Co. Clare,3
"33. Wood Road, Cratloe, Co. Clare",1100, Co. Clare,3
"34. Moymore, Lahinch, Co. Clare",1000, Co. Clare,3 
"35. Church view Sixmilebridge, Sixmilebridge, Co. Clare",750, Co. Clare,3
"36. 5 Carnelly Woods, Clarecastle, Co. Clare, Ennis, Co. Clare",3000, Co. Clare,5 
"1. Millers Court, Old Quarter, Ballincollig, Co. Cork",1800, Co. Cork,3 
"2. St. Christopher's Road, Montenotte, Co. Cork",1664, Co. Cork,4 
"3. Ballyvorisheen West, Carrignavar, Co. Cork",1465, Co. Cork,3 
"4. 4 o mahony square broad lane, Blacpool, Blackpool, Co. Cork",990, Co. Cork,2
"5. Worlds End, Kinsale, Co. Cork",1800, Co. Cork,3 
"6. Kealties, Durrus, Co. Cork",900, Co. Cork,3
"7. Knockaneroe 1, Kanturk, Co. Cork",800, Co. Cork,3
"8. Heatherfield, Waterfall, Co. Cork",2400, Co. Cork,5 
"9. Blarney Village, Blarney, Co. Cork",2400, Co. Cork,4 
"10. Teernaspideoga, Inchigeelagh, Co. Cork",400, Co. Cork,2
