House,Price,County,Room
"1. Rathana, Borris, Co. Carlow",1250, Co. Carlow,5 
"2. 140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,4 
"3. 18F Burrin Street, Carlow Town, Co. Carlow",850, Co. Carlow,3
"4. Friars Green, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"5. Milford Park, Ballinabranagh, Co. Carlow",1200, Co. Carlow,4 
"6. Coolkenno, Tullow, Co. Carlow",800, Co. Carlow,8
"7. Lime Grove, Palatine, Carlow, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"8. Mountgara, Carlow Town, Co. Carlow",1300, Co. Carlow,4 
"9. The vale, graigcullen, Carlow Town, Co. Carlow",1000, Co. Carlow,3 
"10. Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 
"11. Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 
"12. Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 
"13. 22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 
"14. 3A Oakview, Athy Road, Carlow Town, Co. Carlow",400, Co. Carlow,4 
"15. The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,
"16. Longwood, Bennekerry, Carlow Town, Co. Carlow",1500, Co. Carlow,4 
"1. The Hawthorns, Bailieborough, Co. Cavan",895, Co. Cavan,3 
"2. 24 Parkview, Ballyjamesduff, Co. Cavan",900, Co. Cavan,5 
"3. Kingscourt, Kingscourt, Co. Cavan",1200, Co. Cavan,6 
"4. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"5. Rockcross, Cavan, Co. Cavan",700, Co. Cavan,4 
"6. woodview, Bailieborough, Co. Cavan",675, Co. Cavan,3
"7. 53 pairc an dun, Cavan, Co. Cavan",850, Co. Cavan,4 
"8. 26 Henry St. Bailieborough, Co. Cavan, Bailieborough, Co. Cavan",600, Co. Cavan,2 
"9. belturbet cavan, Belturbet, Co. Cavan",800, Co. Cavan,4 
"10. 56 daisyhill manor, Ballyconnell, Co. Cavan",695, Co. Cavan,3 
"11. No 10 Cockhill View, Cavan, Co. Cavan",750, Co. Cavan,5 
"12. Ardkeen, Cavan, Co. Cavan",750, Co. Cavan,3 
