House Index,Address,Price,County,Room,Approx price per room
30,"22 Glenoir, Ennis, Co. Clare",900, Co. Clare,3,300.00
31,"35 Shanacloon, Shanballa, Ennis, Co. Clare",800, Co. Clare,2 ,400.00
32,"Corofin, Corofin, Co. Clare",700, Co. Clare,3 ,233.33
33,"Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 ,333.33
34,"Lisroe, Kilmaley, Co. Clare",950, Co. Clare,6 ,158.33
35,"9 The Crescent, Miltown Malbay, Co. Clare",650, Co. Clare,3 ,216.67
36,"Lacknashannagh, Kildysart, Co. Clare",695, Co. Clare,2 ,347.50
37,"Garrihys Cross House, Doolin, Co. Clare",800, Co. Clare,3 ,266.67
38,"5 Carnelly Woods, Clarecastle, Co. Clare, Ennis, Co. Clare",3000, Co. Clare,5 ,600.00
1,"Millers Court, Old Quarter, Ballincollig, Co. Cork",1800, Co. Cork,3 ,600.00
2,"Emmet Street, Mallow, Co. Cork",850, Co. Cork,3,283.33
3,"Worlds End, Kinsale, Co. Cork",1800, Co. Cork,3 ,600.00
4,"Ballyvorisheen West, Carrignavar, Co. Cork",1465, Co. Cork,3 ,488.33
5,"19 Bendemeer Park, Glasheen, Co. Cork",1690, Co. Cork,3,563.33
6,"Kealties, Durrus, Co. Cork",900, Co. Cork,3,300.00
7,"Loughane, Ladysbridge, Co. Cork",900, Co. Cork,3,300.00
8,"Carrigdarrery, Lissarda, Co. Cork",1100, Co. Cork,2 ,550.00
9,"Main Street, Midleton, Co. Cork",775, Co. Cork,1,775.00
10,"Butlerstown, Courtmacsherry, Co. Cork",850, Co. Cork,4 ,212.50
11,"6 Kiltha Park, Castlemartyr, Co. Cork",1200, Co. Cork,3,400.00
12,"Greenmount, Cork City, Co. Cork",1500, Co. Cork,3,500.00
13,"Ballinguilly, Ballincollig, Co. Cork",1800, Co. Cork,4 ,450.00
14,"Main Street, Carrigtwohill, Co. Cork",2200, Co. Cork,4 ,550.00
15,"Walshestown, Churchtown, Mallow, Churchtown, Co. Cork",1000, Co. Cork,3 ,333.33
16,"Maple Woods, Ballinacurra, Midleton, Co. Cork",1395, Co. Cork,3 ,465.00
17,"Inchigaggin Lane, Model Farm Road, Co. Cork",2400, Co. Cork,3 ,800.00
18,"Cork City, Cork City, Co. Cork",2400, Co. Cork,3 ,800.00
19,"Curragh Woods, Frankfield, Co. Cork",1600, Co. Cork,3 ,533.33
20,"The Maples, Glanmire, Co. Cork",1500, Co. Cork,3 ,500.00
21,"Cork City, Cork City, Co. Cork",2400, Co. Cork,3 ,800.00
22,"The Maples, Glanmire, Co. Cork",1500, Co. Cork,3 ,500.00
23,"Inchigaggin Lane, Model Farm Road, Co. Cork",2400, Co. Cork,3 ,800.00
24,"Curragh Woods, Frankfield, Co. Cork",1600, Co. Cork,3 ,533.33
25,"Lee Road, Cork City, Co. Cork",1250, Co. Cork,3 ,416.67
26,"Coolmaine Mews, Kinsale Manor, Kinsale, Co. Cork",1800, Co. Cork,3 ,600.00
27,"Brookfield Villas, College Road, Cork., Cork City, Co. Cork",3000, Co. Cork,5 ,600.00
28,"Hazeldene, Hazelwood, Mallow, Co. Cork",825, Co. Cork,2,412.50
29,"Pearse Terrace, Mallow, Co. Cork",1050, Co. Cork,3 ,350.00
30,"Ballyclough Village, Mallow, Co. Cork",900, Co. Cork,2,450.00
31,"Main Street, Ballyclough, Mallow, Co. Cork",900, Co. Cork,3,300.00
32,"Brookyn House, 2 Glensprings, Lower Kileens, Black, Killeens, Co. Cork",550, Co. Cork,3 ,183.33
33,"Maryville, Old Youghal Road, Youghal, Co. Cork",1030, Co. Cork,2,515.00
34,"The Avenue, Rockfield, Church Road, Blackrock, Co. Cork",2050, Co. Cork,4 ,512.50
35,"Carrigrohane, Carrigrohane, Co. Cork",2500, Co. Cork,5 ,500.00
36,"Ballady House, Ballady, Belgooly, Co. Cork",2750, Co. Cork,5 ,550.00
37,"Sherwood Blackrock Road, Blackrock, Co. Cork",4000, Co. Cork,4 ,1000.00
38,"Riverhouse, Tisaxon Beg, Kinsale, Co. Cork",2000, Co. Cork,4,500.00
39,"Lisheen Fields, Ballincollig, Co. Cork",1750, Co. Cork,5 ,350.00
40,"The Courtyard Lodge, Longueville House, Ballycloug, Mallow, Co. Cork",3300, Co. Cork,5 ,660.00
41,"Belfield Abbey, Boreenmanna Road, Ballintemple, Co. Cork",1650, Co. Cork,2 ,825.00
42,"Beara, Ballincollie Road, Ballyvolane, Co. Cork",1500, Co. Cork,4 ,375.00
43,"The Orchard, Monkstown, Co. Cork",1165, Co. Cork,2,582.50
44,"Ardfield Road, Frankfield, Co. Cork",1400, Co. Cork,3 ,466.67
45,"4 Caislean an Easaig, Castletownroche, Co. Cork",850, Co. Cork,3 ,283.33
46,"Lake Lawn, Douglas, Co. Cork",1600, Co. Cork,3,533.33
47,"Dewberry, Mount Oval Village, Rochestown, Co. Cork",1648, Co. Cork,4 ,412.00
48,"Woodstock Hall, Carrigtwohill, Co. Cork",3200, Co. Cork,6 ,533.33
