House Index,Address,Price,County,Room,Approx price per room
12. ,"Barnacor, Lanesborough, Co. Longford",750, Co. Longford,4,187.50
13. ,"42,Clough Dillon, Keenagh, Co. Longford",750, Co. Longford,4 ,187.50
14. ,"14, Harbor view, Tarmonbarry, Co. Longford",800, Co. Longford,4 ,200.00
15. ,"Aughadegnan, Longford Town, Co. Longford",900, Co. Longford,3,300.00
16. ,"26 Silver Birches , Stonepark, Danesfort, Co. Longford",700, Co. Longford,3 ,233.33
17. ,"14 Cluain Dara, Lanesborough, Co. Longford",700, Co. Longford,3 ,233.33
18. ,"Sycamore Close, Clonbalt Woods, Longford Town, Co. Longford",900, Co. Longford,4 ,225.00
19. ,"Forthill, Aughnacliffe, Co. Longford",750, Co. Longford,3 ,250.00
20. ,"Cornageelagh, Newtowncashel, Co. Longford",600, Co. Longford,3,200.00
21. ,"Cnoc Na Gaoithe, Lanesborough, Co. Longford",3000, Co. Longford,3 ,1000.00
22. ,"Cahannagh, Longford Town, Co. Longford",750, Co. Longford,4,187.50
23. ,"Forgney Ballymahon, Ballymahon, Co. Longford",1200, Co. Longford,4,300.00
24. ,"Shantobar, Ballinalee, Co. Longford",650, Co. Longford,3 ,216.67
25. ,"1 Esker Glen, Drumlish, Co. Longford",775, Co. Longford,4 ,193.75
26. ,"Water's Edge, Lanesborough, Co. Longford",850, Co. Longford,2 ,425.00
1. ,"106 Bryanstown Manor, Bryanstown, Drogheda, Co. Louth",1500, Co. Louth,3 ,500.00
2. ,"tallanstown manor, Tallanstown, Co. Louth",1200, Co. Louth,4 ,300.00
3. ,"Bachelors Walk, Dundalk, Co. Louth",1050, Co. Louth,2,525.00
4. ,"36 Colpe View, Deepforde, Dublin Road, Drogheda, Co. Louth",1600, Co. Louth,3 ,533.33
5. ,"Togher, Drogheda, Co. Louth",1200, Co. Louth,3,400.00
6. ,"Duddestown, Togher, Co. Louth",1200, Co. Louth,3,400.00
7. ,"6 Cuchilainn Terrace, Dundalk, Co. Louth",900, Co. Louth,3 ,300.00
8. ,"28 Riverside Drive, Dundalk, Co. Louth",1200, Co. Louth,3 ,400.00
9. ,"Broughton Street, Dundalk, Co. Louth",1000, Co. Louth,3,333.33
10. ,"Gosling Terrace, Dundalk, Co. Louth",850, Co. Louth,2,425.00
11. ,"Oyster Bay, Carlingford, Co. Louth",950, Co. Louth,3 ,316.67
12. ,"Annaverna, Ravensdale, Co. Louth",1100, Co. Louth,5 ,220.00
13. ,"5 Priory Villas, Dundalk, Co. Louth",1700, Co. Louth,2 ,850.00
14. ,"Lisheen Pk, Knockbridge, Co. Louth",1100, Co. Louth,3,366.67
15. ,"Charlestown, Ardee, Co. Louth",780, Co. Louth,2,390.00
16. ,"Mellifont Court, Collon, Co. Louth",1250, Co. Louth,3 ,416.67
17. ,"The cottage, Blackrock, Co. Louth",900, Co. Louth,3,300.00
18. ,"Wyanstown, Togher, Co. Louth",1250, Co. Louth,4 ,312.50
19. ,"Oldbridge, Mell, Drogheda, Co. Louth",1600, Co. Louth,4 ,400.00
20. ,"Culhane Street, Dundalk, Co. Louth",1200, Co. Louth,4,300.00
21. ,"Sea View, Annagassan, Co. Louth",1000, Co. Louth,3,333.33
22. ,"Silk Park, Drogheda, Co. Louth",1500, Co. Louth,3 ,500.00
23. ,"Canonstown, Termonfeckin, Co. Louth",1500, Co. Louth,3,500.00
24. ,"Clogher Cove, Clogherhead, Co. Louth",1500, Co. Louth,5 ,300.00
25. ,"Blackhall, Sunhill, Termonfeckin, Co. Louth",1250, Co. Louth,4 ,312.50
26. ,"Langfield, Dublin Road, Dundalk, Co. Louth",1300, Co. Louth,3 ,433.33
27. ,"Kingswood, Rock Road, Dundalk, Co. Louth",1500, Co. Louth,5 ,300.00
28. ,"The Garden House, Barmeath Castle, Dunleer, Co. Louth",1500, Co. Louth,6 ,250.00
29. ,"20 Clos Aodhan, Saltown, Dundalk, Co. Louth",1200, Co. Louth,3 ,400.00
30. ,"38 Seatown, Dundalk, Co. Louth",1200, Co. Louth,4 ,300.00
