House,Price,County,Room
"5. silverbirch, monestary road, Rochestown, Co. Cork",1450, Co. Cork,3 
"6. Old Avenue ( 5 MONTH LEASE ), Glanmire, Co. Cork",1462, Co. Cork,4
"7. Ballyvorisheen West, Carrignavar, Co. Cork",1465, Co. Cork,3 
"8. 4 o mahony square broad lane, Blacpool, Blackpool, Co. Cork",990, Co. Cork,2
"9. Coolavokig, Macroom, Co. Cork",800, Co. Cork,3
"10. Firgrove Drive, Bishopstown, Co. Cork",1900, Co. Cork,4 
"11. Pouladuff Road, Pouladuff, Co. Cork",1079, Co. Cork,3 
"12. Rhodaville Estate, Off Main Douglas Road, Douglas, Co. Cork",1840, Co. Cork,3 
"13. Church Road, Blackrock, Co. Cork",1200, Co. Cork,
"14. Dewberry, Mount Oval Village, Rochestown, Co. Cork",1648, Co. Cork,4 
"15. Woodstock Hall, Carrigtwohill, Co. Cork",3200, Co. Cork,6 
"16. The Granary, Bailick Road, Midleton, Co. Cork",1250, Co. Cork,3 
"17. Sunday's Well Road, Sunday's Well, Co. Cork",1800, Co. Cork,4 
"18. The Grove, Coolroe Meadows, Ballincollig, Co. Cork",2200, Co. Cork,4 
"19. Balady House, Belgooly, Kinsale, Co. Cork",2750, Co. Cork,5 
"20. No. 2 Harbour View Holiday Village, Glengarriff, Co. Cork",700, Co. Cork,4
"21. Mount Nephin, Bishopstown Avenue, Model Farm Road, Co. Cork",2030, Co. Cork,4 
"22. Cloughduv Village, Cloughduv, Co. Cork",1200, Co. Cork,3 
"23. 72 Seanabothair, Killeens, Co. Cork",1500, Co. Cork,4 
"24. Ring, Ballymacoda, Co. Cork",1000, Co. Cork,4 
"25. 26 Shoulders Lane, Mallow, Co. Cork",1150, Co. Cork,3 
"26. 27 Longshore Drive, Jacob Island, Blackrock, Co. Cork",1633, Co. Cork,4 
"27. 9 Cedargrove, Mallow, Co. Cork",1150, Co. Cork,3
"28. The Crescent, Greenvalley, Donnybrook, Douglas, Co. Cork",1500, Co. Cork,3 
"29. 7 Fort Hill, Moneygourney, Douglas, Co. Cork",1375, Co. Cork,3 
"30. 13 Dunvale Lawn, Frankfield, Co. Cork",1400, Co. Cork,3 
"31. CHAPEL SQUARE, Fermoy, Co. Cork",950, Co. Cork,3 
"32. 48 Elisnore Rise, Midleton, Co. Cork",1100, Co. Cork,3
"33. Maple Woods, Ballinacurra, Midleton, Co. Cork",1395, Co. Cork,3 
"34. Gerald Griffin Street, Cork City, Co. Cork",920, Co. Cork,2
"35. Friars walk, Cork City, Co. Cork",1900, Co. Cork,5 
"36. Dun Eoin, Carrigaline, Co. Cork",1230, Co. Cork,3 
"37. Main St, Watergrasshill, Co. Cork",1500, Co. Cork,3 
"38. Oakbrook, Carrigtwohill, Co. Cork",1400, Co. Cork,3 
"39. Curragh Woods, Cork City, Co. Cork",1600, Co. Cork,3 
"40. Cork City, Cork City, Co. Cork",2400, Co. Cork,3 
"41. Curragh Woods, Cork City, Co. Cork",1600, Co. Cork,3 
"42. Friars walk, Cork City, Co. Cork",1900, Co. Cork,5 
"43. Shamrock Lawn, Cork City, Co. Cork",1400, Co. Cork,3 
"44. Main St, Watergrasshill, Co. Cork",1500, Co. Cork,3 
"45. Model Village, Tower, Co. Cork",1800, Co. Cork,5 
"46. Dromidclough Derrigra, Ballineen, Co. Cork",400, Co. Cork,1
"47. Main Street, Carrigtwohill, Co. Cork",2200, Co. Cork,4 
"48. 24 Curra Woods, Riverstick, Co. Cork",1800, Co. Cork,4 
"49. Victoria Village, Farranlea Road, Victoria Cross, Co. Cork",1800, Co. Cork,3
"50. Coolmaine Mews, Kinsale Manor, Kinsale, Co. Cork",1800, Co. Cork,3 
"51. Brookfield Villas, College Road, Cork City, Co. Cork",3000, Co. Cork,5 
"52. Ballygrace, Churchtown, Co. Cork",600, Co. Cork,
"53. Bishopscourt Drive, Bishopstown, Co. Cork",2100, Co. Cork,4 
