House,Price,County,Room
"1. Rathana, Borris, Co. Carlow",1250, Co. Carlow,5 
"2. Hillview, Shillelagh Rd, Tullow, Co. Carlow",850, Co. Carlow,4 
"3. Lime Grove, Palatine, Carlow, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"4. Mountgara, Carlow Town, Co. Carlow",1300, Co. Carlow,4 
"5. Dolmen Gardens, Pollerton, Co. Carlow",1200, Co. Carlow,4 
"6. 140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,4 
"7. Friars Green, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"8. Milford Park, Ballinabranagh, Co. Carlow",1200, Co. Carlow,4 
"9. Coolkenno, Tullow, Co. Carlow",800, Co. Carlow,8
"10. The vale, graigcullen, Carlow Town, Co. Carlow",1000, Co. Carlow,3 
"11. Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 
"12. Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 
"13. Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 
"14. 22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 
"15. 3A Oakview, Athy Road, Carlow Town, Co. Carlow",400, Co. Carlow,4 
"16. The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,
"17. Longwood, Bennekerry, Carlow Town, Co. Carlow",1500, Co. Carlow,4 
"1. 23 Springfield cavan, Cavan, Co. Cavan",750, Co. Cavan,3 
"2. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"3. The Hawthorns, Bailieborough, Co. Cavan",895, Co. Cavan,3 
"4. Kingscourt, Kingscourt, Co. Cavan",1200, Co. Cavan,6 
"5. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"6. Rockcross, Cavan, Co. Cavan",700, Co. Cavan,4 
"7. woodview, Bailieborough, Co. Cavan",675, Co. Cavan,3
"8. 26 Henry St. Bailieborough, Co. Cavan, Bailieborough, Co. Cavan",600, Co. Cavan,2 
"9. belturbet cavan, Belturbet, Co. Cavan",800, Co. Cavan,4 
"10. 56 daisyhill manor, Ballyconnell, Co. Cavan",695, Co. Cavan,3 
"11. No 10 Cockhill View, Cavan, Co. Cavan",750, Co. Cavan,5 
"12. Bramble Rise, Cavan, Co. Cavan",850, Co. Cavan,4 
"13. Ballyhugh, Ballyconnell, Co. Cavan",500, Co. Cavan,2
"1. 34 Inis Ogra, Sixmilebridge, Co. Clare",900, Co. Clare,5 
"2. 41 Gleann an Oir, Shannon, Co. Clare",1000, Co. Clare,5 
"3. Kilnasoolagh, Newmarket on Fergus, Co. Clare",800, Co. Clare,4
"4. Carrowmeer House, Carrowmeer, Newmarket on Fergus, Co. Clare",1000, Co. Clare,5 
"5. The Park, Ennis, Co. Clare",1350, Co. Clare,4 
"6. Killestry Cottage, Killaloe, Co. Clare",850, Co. Clare,3 
"7. 5 Killeen, Corofin, Co. Clare",600, Co. Clare,3
"8. Dun Meadbhe, Lahinch, Co. Clare",700, Co. Clare,4
"9. 18 French Court, Clonroad, Ennis, Co. Clare",850, Co. Clare,3 
"10. Ennis Road, Miltown Malbay, Co. Clare",750, Co. Clare,5 
"11. 35 Shanacloon, Shanballa, Ennis, Co. Clare",800, Co. Clare,2 
"12. 59c Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 
"13. Meadow Court, Clonroad, Ennis, Co. Clare",900, Co. Clare,3
"14. 22 Glenoir, Ennis, Co. Clare",900, Co. Clare,3
"15. Lakes Village, Killaloe, Co. Clare",825, Co. Clare,2
"16. 1 Miltown Road, Kilkee, Co. Clare",3200, Co. Clare,4 
"17. Corofin, Corofin, Co. Clare",700, Co. Clare,3 
"18. Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 
"19. Lisroe, Kilmaley, Co. Clare",950, Co. Clare,6 
"20. 86 The Hawthorns, Limerick Road, Ennis, Co. Clare",1000, Co. Clare,5 
"21. 24 clover hill tulla rd ennis., Ennis, Co. Clare",950, Co. Clare,4 
"22. 9 The Crescent, Miltown Malbay, Co. Clare",650, Co. Clare,3 
"23. Lacknashannagh, Kildysart, Co. Clare",695, Co. Clare,2 
"24. Ivy Cottage, Parteen, Co. Clare",1000, Co. Clare,4 
"25. Woodhaven, Ennis, Co. Clare",900, Co. Clare,3 
"26. Dun Na Mara Doonbeg, Doonbeg, Co. Clare",900, Co. Clare,4 
"27. Garrihys Cross House, Doolin, Co. Clare",800, Co. Clare,3 
"28. querrin, Kilkee, Co. Clare",600, Co. Clare,3
"29. Wood Road, Cratloe, Co. Clare",1100, Co. Clare,3
"30. Moymore, Lahinch, Co. Clare",1000, Co. Clare,3 
"31. Church view Sixmilebridge, Sixmilebridge, Co. Clare",750, Co. Clare,3
"32. Fishermans Walk, Killaloe, Co. Clare",975, Co. Clare,3 
"33. Carrowmore, Doonbeg, Co. Clare",600, Co. Clare,3
"34. 12 Bruach na Abhainn, Ennis, Co. Clare",900, Co. Clare,3 
"35. Lehaknock, Kilmaley, Ennis, Co. Clare",700, Co. Clare,2 
"36. Carrownakilly, Killaloe, Co. Clare",600, Co. Clare,3
"37. Clondanagh, Tulla, Co. Clare",750, Co. Clare,4
"38. 5 Carnelly Woods, Clarecastle, Co. Clare, Ennis, Co. Clare",3000, Co. Clare,5 
"39. 459 St. Flannan\'s Road, Killaloe, Co. Clare",825, Co. Clare,2
"1. Millers Court, Old Quarter, Ballincollig, Co. Cork",1800, Co. Cork,3 
"2. St. Christopher's Road, Montenotte, Co. Cork",1664, Co. Cork,4 
"3. Ballyvorisheen West, Carrignavar, Co. Cork",1465, Co. Cork,3 
"4. Old Avenue ( 5 MONTH LEASE ), Glanmire, Co. Cork",1462, Co. Cork,4
"5. Kealties, Durrus, Co. Cork",900, Co. Cork,3
"6. 8 Geraldine Place, Off Albert Road, Cork City, Co. Cork",1400, Co. Cork,2
"7. Teernaspideoga, Inchigeelagh, Co. Cork",400, Co. Cork,2
"8. Carriganarra estate, Ballincollig, Co. Cork",1450, Co. Cork,3
"9. Blarney Village, Blarney, Co. Cork",2400, Co. Cork,4 
"10. Seanacloc, Tower, Co. Cork",1500, Co. Cork,3 
"11. 47 The Mews, Rushbrooke Links, Cobh, Co. Cork",1150, Co. Cork,3
"12. Ballinacurra, Midleton, Co. Cork",1150, Co. Cork,3
"13. Kilpatrick, Bandon, Co. Cork",1300, Co. Cork,4 
