Apartment Index,Address,Price,County,Room,Approx price per room
1,"3 Fishermans Lough, Leighlinbridge, Co. Carlow",900, Co. Carlow,3,300.00
2,"11 Rivercourt, Bagenalstown, Co. Carlow",800, Co. Carlow,3,266.67
3,"Glynn, St. Mullins, Co. Carlow",700, Co. Carlow,4,175.00
4,"Ferry Bank, Graiguecullen, Co. Carlow",850, Co. Carlow,2,425.00
5,"Dublin Street, Carlow Town, Co. Carlow",850, Co. Carlow,3,283.33
6,"Riverdell, Haymarket, Carlow Town, Co. Carlow",825, Co. Carlow,2,412.50
7,"Centaur House, Carlow Town, Co. Carlow",950, Co. Carlow,2,475.00
8,"phelim crescent, Tullow, Co. Carlow",800, Co. Carlow,3,266.67
1,"Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan,2,342.50
2,"No. 10 Eaglewood, Belturbet, Co. Cavan",550, Co. Cavan,2,275.00
3,"Lakelands, Virginia, Co. Cavan",750, Co. Cavan,2,375.00
4,"13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan,3,266.67
5,"2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan,4,150.00
6,"Rivercrescent, Virginia, Co. Cavan",550, Co. Cavan,1,550.00
7,"Main Street, Cavan, Co. Cavan",550, Co. Cavan,1,550.00
8,"Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan,3,300.00
9,"Deerpark, Virginia, Co. Cavan",700, Co. Cavan,3,233.33
10,"blacklion, Blacklion, Co. Cavan",450, Co. Cavan,2,225.00
11,"Apt 7 Woodford View, Ballyconnell, Co. Cavan",550, Co. Cavan,2,275.00
1,"116 Bruach na hAbhainn, Quinn Road, Ennis, Co. Clare",750, Co. Clare,2,375.00
2,"1 Maple house Drumgeely, Shannon, Co. Clare",700, Co. Clare,2,350.00
3,"Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
4,"4E Harbour Village, Killaloe, Co. Clare",800, Co. Clare,2,400.00
5,"Woodbrook, Newmarket on Fergus, Co. Clare",650, Co. Clare,1,650.00
6,"Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
7,"10 Ros na Greine, Shannon, Co. Clare",1200, Co. Clare,5,240.00
8,"Merchants Quay, Kilrush, Co. Clare",700, Co. Clare,2,350.00
9,"Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare,1,650.00
10,"Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare,2,412.50
11,"Salthouse Lane, Ennis, Co. Clare",800, Co. Clare,2,400.00
12,"Moore Street, Kilrush, Co. Clare",400, Co. Clare,1,400.00
13,"Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare,3,266.67
14,"3 Merchant's Quay, Kilrush, Co. Clare",360, Co. Clare,1,360.00
1,"South Douglas Road, Cork City, Co. Cork",1440, Co. Cork,2,720.00
2,"Camden Court , Carolls Quay , Cork ., Cork City, Co. Cork",1600, Co. Cork,2,800.00
3,"Orchard Court, Victoria Cross, Victoria Cross, Co. Cork",1373, Co. Cork,2,686.50
4,"24 Ronayns Court, Rochestown Road, Douglas, Co. Cork",1500, Co. Cork,2,750.00
5,"Douglas House, Douglas, Co. Cork",1400, Co. Cork,2,700.00
6,"Eagle Valley, Wilton, Co. Cork",1500, Co. Cork,4,375.00
7,"River Towers, Lee Road, Cork City, Co. Cork",2550, Co. Cork,1,2550.00
8,"2 Fullers Road, Cork City, Co. Cork",1100, Co. Cork,1,1100.00
