House,Price,County
"1. Apt. 28 Hanover Riverside, Sir John Rogerson's Qua, Dublin 2",3750, Dublin 2
"2. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18
"3. Merrion Street, Dublin 2",8850, Dublin 2
"4. Elgin Road, Ballsbridge, Dublin 4",3400, Dublin 4
"5. Smithfield Market - 16E, Smithfield, Dublin 7",2700, Dublin 7
"6. OCallaghan Court, Grand Canal Dock, Dublin 2",2250, Dublin 2
"7. Cathedral Court, Dublin 2",3750, Dublin 2
"8. Cathedral Court, Dublin 2",2800, Dublin 2
"9. Cathedral Court, Dublin 2",2250, Dublin 2
"10. Steeven's Gate, James Street, Dublin 8",1688, Dublin 8
"11. Robin Hill Sandyford Road Sandyford, Sandyford, Dublin 18",2400, Dublin 18
"12. Sweepstakes, Ballsbridge, Dublin 4",3120, Dublin 4
"13. Templeogue rd, Dublin 4",2200, Dublin 4
"14. Rockview, Blackglen Road, Sandyford, Dublin 18",2200, Dublin 18
"15. 46 South Central Rockbrook, Sandyford, Dublin 18",1935, Dublin 18
"16. Northbank, Castleforbes Road, Dublin 1",1950, Dublin 1
"17. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2500, Dublin 18
"18. The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin
"19. Northbank Apartments, Castleforbes Road, Dublin 1",2400, Dublin 1
"20. 13 Adelaide Road, Dublin 2",3200, Dublin 2
"Lee Road, Cork City, Co. Cork",1300, Co. Cork
"1. River Towers, Lee Road, Cork City, Co. Cork",2400, Co. Cork
"2. 81 Eagle Valley, Wilton, Co. Cork",1000, Co. Cork
"3. The Elysian, Eglinton Street, Cork City, Co. Cork",3170, Co. Cork
"4. Steam Packet House, Railway Street, Passage West, Co. Cork",1150, Co. Cork
"5. Hartys Quay, Rochestown, Co. Cork",1650, Co. Cork
"6. Wentworth Gardens, Wilton, Co. Cork",1000, Co. Cork
"7. Rutland Place, South Terrace, Cork City, Co. Cork",1400, Co. Cork
"8. Grand Parade, Cork City, Co. Cork",1400, Co. Cork
"9. 37 Downview, Faranlea Road, Cork City, Victoria Cross, Co. Cork",2600, Co. Cork
"10. Glanmire Village, Glanmire, Co. Cork",1200, Co. Cork
"11. Woodhill, Tivoli, Co. Cork",1300, Co. Cork
"12. watercourse road cork, Blackpool, Co. Cork",850, Co. Cork
"13. First Floor, 19 Military Road, St. Lukes, Co. Cork",1500, Co. Cork
"14. Fullers Lodge, College Road, Cork City, Co. Cork",888, Co. Cork
"15. Pinecourt ,Church Road, Blackrock, Co. Cork",1120, Co. Cork
"16. The Kingfisher, Jacob\'s Island, Ballinure, Co. Cork",1450, Co. Cork
"17. The Haven, Jacobs island Cork, Mahon, Co. Cork",1600, Co. Cork
"18. Alfred Street, Cork City, Co. Cork",1456, Co. Cork
"19. 9 Summerstown Avenue, Glasheen, Co. Cork",1400, Co. Cork
