House,Price,County
"1. 13 Adelaide Road, Dublin 2 - Apartment to Ren",3200, Dublin 2 - Apartment to Ren
"2. Northbank, Castleforbes Road, Dublin 1 - Apartment to Ren",1950, Dublin 1 - Apartment to Ren
"3. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18 - Apartment to Ren",2939, Dublin 18 - Apartment to Ren
"4. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18 - Apartment to Ren",2500, Dublin 18 - Apartment to Ren
"5. The Grange, Brewery Road, Stillorgan, Co. Dublin - Apartment to Ren",1950, Co. Dublin - Apartment to Ren
"6. Northbank Apartments, Castleforbes Road, Dublin 1 - Apartment to Ren",2400, Dublin 1 - Apartment to Ren
"7. Adelaide Square, Dublin 2 - Apartment to Ren",3400, Dublin 2 - Apartment to Ren
"8. 532 The Maple,Beacon South Quarter, Sandyford, Dublin 18 - Apartment to Ren",2300, Dublin 18 - Apartment to Ren
"9. Apt. 28 Hanover Riverside, Sir John Rogerson's Qua, Dublin 2 - Apartment to Ren",3750, Dublin 2 - Apartment to Ren
"10. Sweepstakes, Ballsbridge, Dublin 4 - Apartment to Ren",3120, Dublin 4 - Apartment to Ren
"11. Smithfield Market - 16E, Smithfield, Dublin 7 - Apartment to Ren",2700, Dublin 7 - Apartment to Ren
"12. Robin Hill Sandyford Road Sandyford, Sandyford, Dublin 18 - Apartment to Ren",2400, Dublin 18 - Apartment to Ren
"13. Steeven's Gate, James Street, Dublin 8 - Apartment to Ren",1688, Dublin 8 - Apartment to Ren
"14. 46 South Central Rockbrook, Sandyford, Dublin 18 - Apartment to Ren",1935, Dublin 18 - Apartment to Ren
"15. OCallaghan Court, Grand Canal Dock, Dublin 2 - Apartment to Ren",2250, Dublin 2 - Apartment to Ren
"16. Cathedral Court, Dublin 2 - Apartment to Ren",3750, Dublin 2 - Apartment to Ren
"17. Cathedral Court, Dublin 2 - Apartment to Ren",2800, Dublin 2 - Apartment to Ren
"18. Cathedral Court, Dublin 2 - Apartment to Ren",2250, Dublin 2 - Apartment to Ren
"19. Merrion Street, Dublin 2 - Apartment to Ren",8850, Dublin 2 - Apartment to Ren
"20. Templeogue rd, Dublin 4 - Apartment to Ren",2200, Dublin 4 - Apartment to Ren
"Somerton park, Cork City, Co. Cork ",1500, Co. Cork 
"1. 16 Kingsbridge, South Douglas Road, Ballinlough, Co. Cork - Apartment to Ren",1450, Co. Cork - Apartment to Ren
"2. The Elysian, Eglinton Street, Cork City, Co. Cork - Apartment to Ren",3170, Co. Cork - Apartment to Ren
"3. Lee Road, Cork City, Co. Cork - Apartment to Ren",1300, Co. Cork - Apartment to Ren
"4. River Towers, Lee Road, Cork City, Co. Cork - Apartment to Ren",2400, Co. Cork - Apartment to Ren
"5. 81 Eagle Valley, Wilton, Co. Cork - Apartment to Ren",1000, Co. Cork - Apartment to Ren
"6. Hartys Quay, Rochestown, Co. Cork - Apartment to Ren",1650, Co. Cork - Apartment to Ren
"7. The Hermitage Glasheen Rd Cork, Glasheen, Co. Cork - Apartment to Ren",1125, Co. Cork - Apartment to Ren
"8. Watergold, Douglas, Co. Cork - Apartment to Ren",1750, Co. Cork - Apartment to Ren
"9. Dwyer House Douglas Road, Douglas, Co. Cork - Apartment to Ren",1100, Co. Cork - Apartment to Ren
"10. Harbour Heights, Passage West, Co. Cork - Apartment to Ren",1450, Co. Cork - Apartment to Ren
"11. The Elysian, Eglinton Street, Cork City, Co. Cork - Apartment to Ren",3500, Co. Cork - Apartment to Ren
"12. Apt No 1 Brook Vale, Cloghroe, Co. Cork - Apartment to Ren",895, Co. Cork - Apartment to Ren
"13. North Quay Place, Popes Quay, Cork City, Co. Cork - Apartment to Ren",370, Co. Cork - Apartment to Ren
"14. Pembroke Grove, Passage West, Co. Cork - Apartment to Ren",1400, Co. Cork - Apartment to Ren
"15. The Oaks, Wentworth Gardens, Bishopstown, Co. Cork - Apartment to Ren",1252, Co. Cork - Apartment to Ren
"16. First Floor, 19 Military Road, St. Lukes, Co. Cork - Apartment to Ren",1500, Co. Cork - Apartment to Ren
"17. Alfred Street, Cork City, Co. Cork - Apartment to Ren",1456, Co. Cork - Apartment to Ren
"18. Maryborough Ridge, Douglas, Co. Cork - Apartment to Ren",1620, Co. Cork - Apartment to Ren
"19. Cork City Centre, Cork City, Co. Cork - Apartment to Ren",1230, Co. Cork - Apartment to Ren
"20. Navillus, Togher (Cork City), Co. Cork - Apartment to Ren",1200, Co. Cork - Apartment to Ren
"1. 6 Ladyswell, Lough Atalia, Bohermore, Co. Galway - Apartment to Ren",1350, Co. Galway - Apartment to Ren
"2. Arch Mews, William St, Galway City, Co. Galway - Apartment to Ren",1300, Co. Galway - Apartment to Ren
"3. Sheerwater House, Galway City, Co. Galway - Apartment to Ren",2200, Co. Galway - Apartment to Ren
"4. Ce Na Mara, The Docks, Galway City, Co. Galway - Apartment to Ren",1560, Co. Galway - Apartment to Ren
"5. Bishop O\'Donnell Road, Rahoon, Co. Galway - Apartment to Ren",560, Co. Galway - Apartment to Ren
"6. R338, Merlin Park, Co. Galway - Apartment to Ren",1200, Co. Galway - Apartment to Ren
