House,Price,County
"3. Cloisters, Nr.O'Connell Monument, O'Connell Street, Limerick City, Co. Limerick",1100, Co. Limerick
"4. Thornfield, South Circular Road, Co. Limerick",1300, Co. Limerick
"5. Drominbeg, Rhebogue, Co. Limerick",1400, Co. Limerick
"6. Glendara, Dooradoyle, Co. Limerick",1100, Co. Limerick
"7. Richmond Court, Mount Kennett, Dock Road, Limerick City, Co. Limerick",950, Co. Limerick
"8. 29 Castlecourt, Clancy Strand, Limerick City, Co. Limerick",1000, Co. Limerick
"9. Alandale Hall, South Circular Road, Co. Limerick",1300, Co. Limerick
"10. Harveys Quay, Limerick City, Co. Limerick",1300, Co. Limerick
"11. 20/21 Lower Gerald Griffin St, Limerick, Limerick City, Co. Limerick",1250, Co. Limerick
"12. 67 Glantan, Golf Links Road, Castletroy, Co. Limerick",1150, Co. Limerick
"13. The Steeples, Limerick City, Co. Limerick",950, Co. Limerick
"14. Knockhill, Ennis Road, Co. Limerick",1100, Co. Limerick
"15. Wellesley Court, Ennis Road, Co. Limerick",1100, Co. Limerick
"16. Landsdowne Hall, O'Callaghan Strand, Limerick City, Co. Limerick",1300, Co. Limerick
"17. 20 Fishermans Quay, Grove Island, Corbally, Co. Limerick",1100, Co. Limerick
"18. 701 Riverpoint, Limerick City, Co. Limerick",1200, Co. Limerick
"19. 31 Pery Court, Limerick City, Co. Limerick",1050, Co. Limerick
"20. Log na gCapall, South Circular Road, Co. Limerick",1400, Co. Limerick
"1. Ardkeen Woods, Ardkeen, Co. Waterford",875, Co. Waterford
"2. Railway Square, Castle Place, Waterford City, Co. Waterford",1100, Co. Waterford
"3. Poleberry House, Waterford City, Co. Waterford",580, Co. Waterford
"4. The Infirmary, Johns Hill, Waterford City, Co. Waterford",750, Co. Waterford
"5. The Quay, Waterford City, Co. Waterford",825, Co. Waterford
"6. Whitfield, Waterford City, Co. Waterford",400, Co. Waterford
"7. Keyser House, High Street, Waterford City, Co. Waterford",900, Co. Waterford
"8. Keyser House, High Street, Waterford City, Co. Waterford",1000, Co. Waterford
"9. Thomas Street, Waterford City, Co. Waterford",795, Co. Waterford
"10. Bridgeview Court, Bridge Street, Waterford City, Co. Waterford",850, Co. Waterford
"11. Apartment 3 21/22 Board Street, Waterford City, Co. Waterford",2000, Co. Waterford
"12. Apartment 1 21/22 Broad Street, Waterford City, Co. Waterford",2000, Co. Waterford
"13. Apartment 4 Congreve House Scotch Quay, Waterford City, Co. Waterford",875, Co. Waterford
"14. Rockenham Court, Rockenham Mews, Waterford City, Co. Waterford",625, Co. Waterford
"15. Glencove, Dunmore Road, Waterford City, Co. Waterford",1250, Co. Waterford
"16. Collins Avenue, Dunmore Road, Waterford City, Co. Waterford",1200, Co. Waterford
"17. The Boathouse, Scotch Quay, Waterford City, Co. Waterford",800, Co. Waterford
"18. Harbour View, Canada Street, Waterford City, Co. Waterford",800, Co. Waterford
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim
"1. Kilree Street, Bagenalstown, Co. Carlow",520, Co. Carlow
"1. 5 Eaglewood manor, Belturbet, Co. Cavan",550, Co. Cavan
"2. 13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan
"3. Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan
"4. Apartment 25 Canal Bank Walk, Castleforde Ballycon, Ballyconnell, Co. Cavan",600, Co. Cavan
"5. Co Cavan, Lough Gowna, Co. Cavan",500, Co. Cavan
"6. Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan
"7. Catherdal Road, Cavan, Cavan, Co. Cavan",600, Co. Cavan
"8. Church Street, Cavan, Co. Cavan",750, Co. Cavan
"9. Dublin Rd, Ballinagh, Co. Cavan",600, Co. Cavan
"10. The Plaza College Street, Cavan, Co. Cavan",700, Co. Cavan
"11. Apartment NO 3, Gortoolan Ballyconnell Co Cavan, Ballyconnell, Co. Cavan",400, Co. Cavan
"12. Arasain Pheadair Bawnboy, Ballyconnell, Co. Cavan",500, Co. Cavan
"13. blacklion, Blacklion, Co. Cavan",450, Co. Cavan
"14. Apt 5, The Elms, Woodford Meadows, Ballyconnell, Co. Cavan",550, Co. Cavan
"15. Main Street, Ballinagh, Co. Cavan",500, Co. Cavan
"16. Fountain View New Road, Bailieborough, Co. Cavan",460, Co. Cavan
"17. 2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan
"1. Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"2. Inis Chlair, Clarecastle, Co. Clare",850, Co. Clare
"3. Bru Na Sionna, Shannon, Co. Clare",775, Co. Clare
"4. Boheraroan, Newmarket on Fergus, Co. Clare",875, Co. Clare
"5. Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare
"6. The Glen, Kilrush, Co. Clare",500, Co. Clare
"7. Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",815, Co. Clare
"8. 56 Millhouse, Ennis, Co. Clare",600, Co. Clare
"9. Merchants Quay, Kilrush, Co. Clare",700, Co. Clare
"10. Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare
"11. Moore Street, Kilrush, Co. Clare",360, Co. Clare
"12. 3 Merchant\'s Quay, Kilrush, Co. Clare",360, Co. Clare
"13. Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare
"1. Farranlea Road, Cork City, Co. Cork",3000, Co. Cork
"2. 16 Kingsbridge, South Douglas Road, Ballinlough, Co. Cork",1450, Co. Cork
"3. The Elysian, Eglinton Street, Cork City, Co. Cork",3170, Co. Cork
"4. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"5. River Towers, Lee Road, Cork City, Co. Cork",2400, Co. Cork
"6. 81 Eagle Valley, Wilton, Co. Cork",1000, Co. Cork
"7. Urban Flo, North Main Street, Bandon, Co. Cork",1400, Co. Cork
"8. Hartys Quay, Rochestown, Co. Cork",1650, Co. Cork
"9. The Hermitage Glasheen Rd Cork, Glasheen, Co. Cork",1125, Co. Cork
"10. Watergold, Douglas, Co. Cork",1750, Co. Cork
"11. Dwyer House Douglas Road, Douglas, Co. Cork",1100, Co. Cork
"12. 2 Heron Court, Skibbereen, Co. Cork",750, Co. Cork
"13. Derrygool, Skibbereen, Co. Cork",450, Co. Cork
"14. Apartment B, 20 Cuil na Carraige, Ballymakeera, Co. Cork",600, Co. Cork
"15. Harbour Heights, Passage West, Co. Cork",1450, Co. Cork
"16. The Elysian, Eglinton Street, Cork City, Co. Cork",3500, Co. Cork
"17. Apt No 1 Brook Vale, Cloghroe, Co. Cork",895, Co. Cork
"18. 49 Shearwater, Kinsale, Co. Cork",1750, Co. Cork
"19. North Quay Place, Popes Quay, Cork City, Co. Cork",370, Co. Cork
"20. ., Ballinascarty, Co. Cork",750, Co. Cork
"1. Main Street, Ballyshannon, Co. Donegal",520, Co. Donegal
